Download Labels,Descargar etiquetas
Balance Threshold,Umbral de equilibrio
Leave empty to disable automatic funding of the account,Dejar vacío para desactivar la financiación automática de la cuenta
Recredit Amount,Recree la Cantidad
UPS Settings,Configuración del SAI
UPS API URL,URL de la UPS API
UPS Shipper Number,Número de cargador UPS
3rd Party Country,País de la tercera parte
3rd Party Postal Code,Código postal de terceros
Verbal Confirmation,Confirmación verbal
Pickup Type,Tipo de recogida
Container Type,RecipienteType
Destination Type,Tipo de destino
* Select category,Selecciona una Categoría
Marked as shipped,Marcado como enviado
Unknown,Desconocido
Error connecting to API: %s,Error al conectarse a la API:%s
Tracking ID %s was picked up from %s,El ID de seguimiento%s se recuperó de%s
Tracking ID %s was delivered to customer,El ID de seguimiento%s se entregó al cliente
Shipment has been complete,El envío ha sido completo
PO #%s [%s],POS(s):
%s (qty: x%s) [status: %s],%S (qty: x%s) [estado:%s]
%s (qty: %s),%S (cantidad:%s)
Vendor SKU:,Vendedor SKU:
Commission Percent,Porcentaje de la Comisión
Transaction Fee,Comisión de Transacción:
Commission Amount,Importe de Comisión
Tax Amount,Total de impuestos
Cost,Costa 
Row Cost,Costo de fila
Row Total,Fila Total
"Invalid stock availability method callback: %s, %s","Devolución de llamada del método de disponibilidad de existencias no válida:%s,%s"
Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s]),Cálculo de tarifas agrupadas: la restricción qty falló para el elemento (%s [SKU:%s])
Selected required options are not available.,Las opciones seleccionadas no están disponibles.
Required options are not selected.,Las opciones requeridas no están seleccionadas.
Unirgy Vendor-Product Associations Indexer,Unirgy Vendedor-Product Associations Indexer
Error parsing confirmation response,Error al analizar la respuesta de confirmación
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","No se puede eliminar el proveedor local. Por favor, cambie ""Configuración / Drop Shipping / Vendor Options / Local Vendor"" antes"
Order status changed after POs generated,El estado del pedido cambió después de que se generaron las OP
ORDER WAS CANCELED: shipment status was changed to %s,La orden fue cancelada: el estado del envío se cambió a%s
Page %s of %s,La página de {0}%1$s{/0} de {0}%2$s{/0}
Packingslip # ,{0}?{/0} {1}       {/1} {2}Hoja de Empaque{/2} 
Qty,Cantidad
Products,Productos
Order # ,Pedido # 
Purchase Order # ,"""Purchase Order #:"" Orden de Compra # "
Order Date: ,Fecha de orden: 
Purchase Order Date: ,Fecha del pedido: 
SOLD TO:,Vendido
SHIP TO:,Enviar a
Payment Method:,Método de pago:
Payment Method,Forma de Pago
Shipping Method:,Forma de envío:
Total Shipping Charges,Total de gastos de envío
Carrier,Transpor
Number,Numero
N/A,N/A 
No orders found for this period.,No se encontraron pedidos para este periodo.
%s for %s - Page %s of %s,%S para%s - Página%s de%s
Statement #,estado.
Statement Date,Fecha de declaración
Date,Fecha
Order#,N º de Orden
Product,Producto 
Comm (%)/Trans,Comm (%) / Trans
Net Amount,Importe neto
Adjustment#,Ajuste
Type,Tipo
Payout,Pago
Due,Límite de Presentación
Comm (%),comm.). 
Total Product Revenue,Ingresos totales del producto
Total Tax,Total del Impuesto
Total Tax (non-payable),Impuestos totales (no pagaderos)
Total Shipping,Total de envío
Total Shipping (non-payable),Envío total (no pagadero)
Total Discount,Total Descuento
Total Discount (non-payable),Descuento total (no pagadero)
Total Handling,Manejo total
Total Commission,Total de la Comisión
Total Transaction Fees,Total de comisiones de transacción
Total Adjustments,Ajustes totales
Total Refunds,Reembolsos totales
Page %s,Páginas
Adjust,Ajustar
Statement Totals,Total de estados
Handling,Ha ª lin g 2 
Comm,Comm
Trans,70. 1
Refund,Reembolso
Payment,Pagos
Commission,Comisión
Trans.Fee,Tarifa de transporte
Image file was not found: %s,No se encontró el archivo de imagen:%s
Use config,Utilizar config
Disable,Deshabilitar
When Tracking ID is added,Cuando se agrega ID de seguimiento
When Vendor Shipment is complete,Cuando se ha completado el envío del proveedor
When Order is completely shipped,Cuando el pedido se envía por completo
Fail estimate and show the error,Calcula la estimación y muestra el error
Skip failed carrier call and show prices without,Omita la llamada de la operadora y muestra los precios sin
* Do not change,* No cambies
Pending,Pendiente
Exported,Exportado
Acknowledged,Acknowledged (Reconocido)
Backorder,'Orden Pendiente'
On Hold,En espera
Ready to Ship,Listo para enviar
Pending Pickup,Recogida pendiente
Label(s) printed,Etiqueta (s) impresa (s)
Shipped,Productos enviados.
Delivered,Entregado
Canceled,Cancelado
Returned,Devolución
* Default (global setting),* Predeterminado (configuración global)
* Use Vendor Email,* Usar el correo electrónico del proveedor
When all items are shipped,Cuando se envían todos los artículos
At least one item shipped,Al menos un artículo enviado
* Magento Bundled Fonts,Magento Fuentes combinadas
Times New Roman,Times New Roman
Helvetica,Helvetica
Courier,Courier
Sum of order vendors estimates,Suma de estimaciones de proveedores de órdenes
Maximum of order vendors estimates,Estimaciones máximas de proveedores de órdenes
* Automatic,Automático
Sendmail,0505 = Enviar correo
Active,Activo
Inactive,Inactivo
Disabled,Deshabilitado
Rejected,Rechazado
Pending Membership,Membresía pendiente
Suspended Membership,Membresía Suspendida
Canceled Membership,Suscripción cancelada
Expired Membership,Membresía vencida
* No notification,* Sin notificación
* Email notification,Notificación de correo electrónico
Invoice,Factura
Include,Incluir
Exclude but Show,Excluir pero mostrar
Exclude and Hide,Excluir y Ocultar
* Local database,* Base de datos local
Always in stock,Siempre en stock
Use system configured handling fee only,Utilizar solo el costo de manejo configurado por el sistema
Use vendor configured handling fee only,Utilice solo la tarifa de manejo configurada por el proveedor
Add vendor handling fee to the system handling fee,Agregar tarifa de manejo del proveedor a la tarifa de manejo del sistema
* Disable tracking API polling,* Desactivar el seguimiento de API de sondeo
* Use label carrier API if available,* Use el API de portador de etiquetas si está disponible
No label printing,Ninguna impresión de etiquetas
PDF,PDF
EPL,EPL
ZPL,ZPL
4X6,0) x 40.000
Next Day Air Early AM,Aereo Siguiente Dia Temprano en la Mañana
Next Day Air Early AM Letter,Carta del día siguiente del aire temprano AM
Next Day Air,Aereo Siguiente Dia
Next Day Air Letter,Letra de aire del día siguiente
Next Day Air Intra (Puerto Rico),Siguiente día Air Intra (Puerto Rico)
Next Day Air Saver,Ahorro Aereo Siguiente Dia
Next Day Air Saver Letter,Carta del ahorrador de aire del día siguiente
2nd Day Air AM,Aereo Segundo Dia Temprano en la Mañana
2nd Day Air AM Letter,2da carta del día del aire AM
2nd Day Air,Aereo Segundo Dia
2nd Day Air Letter,Carta de aire del segundo día
3 Day Select,Seleccion de 3 Dias
Ground,Terrestre
Ground Commercial,Comercial en tierra
Ground Residential,Residencial Terreno
Canada Standard,Canadá estándar
Worldwide Express,Worldwide Express
Worldwide Express Saver,Worldwide Express Saver
Worldwide Express Letter,Carta Mundial Express
Worldwide Express Plus,Worldwide Express Plus
Worldwide Express Plus Letter,Carta Mundial Express Plus
Worldwide Expedited,Acelerado en todo el mundo
UPS Next Day Air,UPS Next Day Air
UPS Second Day Air,Segundo día de aire del UPS
UPS Ground,UPS Ground
UPS Worldwide Express,UPS Worldwide Express
UPS Worldwide Expedited,UPS Worldwide Expedited
UPS Standard,Estándar de UPS
UPS Three-Day Select,Selección de tres días de UPS
UPS Next Day Air Saver,UPS Next Day Air Saver
UPS Next Day Air Early A.M.,UPS Next Day Air temprano en la mañana
UPS Worldwide Express Plus,UPS Worldwide Express Plus
UPS Second Day Air A.M.,UPS Segunda jornada Air AM
UPS Saver,UPS Saver
UPS Today Standard,Hoy UPS estandar
UPS Today Dedicated Courrier,UPS Today Dedicated Courrier
UPS Today Intercity,UPS Today Intercity
UPS Today Express,Hoy Express UPS
UPS Today Express Saver,UPS Today Express Saver
Sender,Remitente
Third Party,Terceros
Regular Pickup,Recogida regular
Request Courier,Solicitud de mensajería
Drop Box,Caja de Drop
Business Service Center,Centro de Servicio a Empresas
Station,Estación
PDF: Paper 4x6,PDF: Papel 4x6
PDF: Paper 4x8,PDF: Papel 4x8
PDF: Paper 4x9,PDF: Papel 4x9
PDF: Paper 7x4.75,PDF: Papel 7x4.75
PDF: Paper 8.5x11 Bottom Half Label,PDF: Papel 8.5x11 Etiqueta de la mitad inferior
PDF: Paper 8.5x11 Top Half Label,PDF: Papel 8.5x11 Medio Medio Superior
EPL: Stock 4x6,EPL: Stock 4x6
EPL: Stock 4x6.75 Leading Doc Tab,EPL: Stock 4x6.75 Lengüeta principal de Doc
EPL: Stock 4x6.75 Trailing Doc Tab,EPL: Stock 4x6.75 Tab Trailing Doc
EPL: Stock 4x8,EPL: Stock 4x8
EPL: Stock 4x9 Leading Doc Tab,EPL: Cuadro 4x9 Lengüeta principal Doc
EPL: Stock 4x9 Trailing Doc Tab,EPL: Archivo 4x9 Trailing Doc Tab
All,TodosJ
Limit by order shipping method,Límite por el método de envío de la orden
Shipment,embarque
Purchase Order,Orden de compra
Available for Shipping Date,Disponible para la fecha de envío
Delivery Method,Forma de Entrega
Shipping Status,Estado del envío
Ascending,Ascendente
Descending,Descendente
Fixed,Fijo
Percent of shipping amount,Porcentaje de la cantidad de envío
Percent of vendor subtotal,Porcentaje del subtotal del proveedor
No action,Ninguna acción
Enable / Disable vendor products,Activar / Desactivar productos de proveedor
* Default System Rules,* Reglas de sistema predeterminadas
Simple Custom Rules,Reglas personalizadas sencillas
Advanced Custom Rules,Reglas personalizadas avanzadas
Total Price,Precio total
Total Cost,Coste Total
Line Number,Número de línea
Weight,Peso
Vendor Package,Paquete de proveedores
Row Separate Rate,Tarifa separada por fila
Item Separate Rate,Artículo Tarifa separada
Assign to local vendor and leave vendor products enabled,Asignar al proveedor local y dejar activados los productos del proveedor
Assign to local vendor and disable vendor products,Asignar al proveedor local y deshabilitar los productos del proveedor
Delete vendor products,Eliminar productos de proveedores
* All Countries,Todos las Regiones
Invalid request for source options: ,Solicitud de opciones de código fuente no válida: 
This item is not available for your location.,Este artículo no está disponible para su ubicación.
This item is not available for your country.,Este artículo no está disponible para su país.
This item is not available for your zipcode.,Este artículo no está disponible para su código postal.
This product is currently out of stock.,El producto no está en existencia ahorita.
Some items are not available for your location.,Algunos artículos no están disponibles para su ubicación.
Some items are not available for your country.,Algunos artículos no están disponibles para su país.
Some items are not available for your zipcode.,Algunos artículos no están disponibles para su código postal.
Some of the products are currently out of stock,Algunos de los productos están agotados.
Undefined product type.,Tipo de producto no definido.
Internal adjustment to sync payout with statement total due,Ajuste interno para sincronizar el pago con el total de la declaración
This account is not confirmed.,Esta cuenta no está confirmada.
Invalid stock check callback: %s,Devolución de llamada de comprobación de stock no válida:%s
This URL Key is already used for different vendor (%s). Please choose another.,"Esta clave de URL ya se utiliza para diferentes proveedores (%s). Por favor, seleccione otro."
This URL Key is reserved. Please choose another.,"Esta clave de URL está reservada. Por favor, seleccione otro."
A vendor with supplied email already exists.,Ya existe un proveedor con correo electrónico suministrado.
A vendor with supplied email and password already exists.,Ya existe un proveedor con correo electrónico y contraseña suministrados.
A vendor with supplied name already exists.,Ya existe un proveedor con el nombre suministrado.
Location,Ubicación
Error,Eerror
Updated At,Actualizado a las
Sku,Sku
Stock Qty,Cantidad de Inventario:
Stock Qty Add,Cantidad de existencias Añadir
Vendor Sku,Vendedor Sku
Item SKU,Artículo SKU
Batch Info,Información del lote
Use Template,Usa la plantilla
Batch notes,Notas de lote
Export to vendor's default locations,Exportar a las ubicaciones predeterminadas del proveedor
Default locations,Ubicaciones predeterminadas
Export and download file,Exportar y descargar el archivo
Download file,Descargar archivo
Download file name,Descargar el nombre del archivo
"If empty, will be autogenerated","Si está vacío, se generará automáticamente"
Export to custom locations,Exportar a ubicaciones personalizadas
Custom locations,Ubicaciones personalizadas
"Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference"">reference</a> for location format, separate multiple locations with new line","Utilice la <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference""> referencia </a> para el formato de ubicación, separe varias ubicaciones con una nueva línea"
Number of Rows,Numero de filas:
Content,Contenido 
Stock Status,Estado del stock
Special From,Especial de
Special To,Especial para
Tracking ID,ID de Tracking
Has error,Tiene error
Error Info,Error Info
Import from vendor's default locations,Importar desde las ubicaciones predeterminadas del proveedor
Import from uploaded file,Importar desde el archivo subido
Upload file,Subir archivo
Import from pasted content,Importar contenido pegado
Paste content,Pegar contenido
Import from custom locations,Importación de ubicaciones personalizadas
Manage Batches,Gestionar lotes
Batch Information,Información del lote
Data Rows,Filas de datos
Export Orders,Órdenes de exportación
Import Orders,Pedidos de Importación
Export Stock PO,PO de Stock de Exportación
Import Stock PO,Import PO de stock
Import Inventory,Importar Inventario
Delete Batch,Eliminar lote
Create Batch(es),Crear Batch (es)
Batch Type,Tipo de lote
Batch Status,Estado del lote
# of Rows,# De filas
Scheduled At,Programado en
Vendor PO Import/Export Batches,Vendedor PO Import / Export Lotes
Create Stock PO Export Batch,Crear Stock PO Exportar lote
Create Stock PO Import Batch,Crear stock PO Import Batch
Create Order Export Batch,Crear pedido de lote de exportación
Create Tracking Import Batch,Crear seguimiento de lote de importación
Create Inventory Import Batch,Crear lote de importación de inventario
Location ID,ID de ubicación
Batch ID,ID de lote
Batch Created At,Lote creado en
Hist Updated At,Hist Actualizado en
Retry,Vuelver a Intentar
Vendor PO Import/Export History,Vendedor PO Historial de importación / exportación
* All Vendors *,* Todos los vendedores *
Batch was successfully saved,El lote se ha guardado correctamente
Batch was successfully deleted,El lote se eliminó correctamente
Please select batch(es),Por favor seleccione lotes
There was an error while updating batch(es) status,Se produjo un error al actualizar el estado de lote (es)
There was an error while updating history(ies) status,Se ha producido un error al actualizar el estado de historiales
Total of %d record(s) were retried,Total de%d registro (s) se repitió
There was an error while retrying distribution: ,Se ha producido un error al volver a intentar la distribución: 
Processed %s import rows,Filas de importación%s procesadas
Empty input,Entrada vacía
Empty delimiter,Delimitador vacío
Empty enclosure,Recinto vacío
Empty fields,Campos vacíos
"Required ""%s"" (or ""%s"") field is not specified","No se especifica el campo ""%s"" (o ""%s"") requerido"
"Required ""%s"" field is not specified","No se ha especificado el campo ""%s"""
"%s"" field is not allowed. will be ignored.","%S ""no está permitido."
Invalid rows: %s,Filas no válidas:%s
Empty rows: %s,Filas vacías:%s
Missing required field in rows: %s,Falta el campo obligatorio en las filas:%s
Duplicate sku within file in rows: %s,Duplicar sku dentro del archivo en filas:%s
Product not found for sku in rows: %s,Producto no encontrado para sku en filas:%s
Products not associated with vendor in rows: %s,Productos no asociados con el proveedor en filas:%s
Batch Import/Export,Importación / exportación por lotes
Batches,Lotes
Action History,Historia de Acción
Orders Batch Options,Opciones de lote por pedido
Default Email Sender,Default Email Sender
Default Email Subject,Asunto por correo electrónico predeterminado
Default Export Orders Filename,Nombre de archivo de pedidos de exportación predeterminado
Export On Po Statuses,Exportar en los estados Po
Save inventory import data in batch,Guardar datos de importación de inventario en lote
Allow import new vendor/product association with inventory import,Permitir la importación de una nueva asociación de proveedor / producto con la importación de inventario
This option applicable to multivendor add-on,Esta opción aplicable al complemento multivendor
If import by vendor sku and it maps to multiple products,Si la importación por proveedor sku y se correlaciona con varios productos
Replace new line with custom char in fields during export,Sustituir nueva línea por caracteres personalizados en campos durante la exportación
This supports only fields with simple format [var.name] (Magento CMS templating conventions {{var var.name}} not supported),Esto sólo admite campos con formato simple [var.name] (las convenciones de plantilla de Magento CMS {{var var.name}} no se admiten)
Custom char to replace new line in fields during export,Caracteres personalizados para reemplazar la nueva línea en los campos durante la exportación
Custom templates for manual import,Plantillas personalizadas para la importación manual
Custom templates for manual export,Plantillas personalizadas para la exportación manual
Statement Export Template,Plantilla de exportación de la declaración
Invalid vendor,Vendedor no válido
"Please select ""Use Template","Seleccione ""Usar plantilla"
"Errors during importing, please see individual batches for details","Errores durante la importación, consulte lotes individuales para obtener detalles"
Invalid batch type,Tipo de lote no válido
Empty Export Template,Plantilla de exportación vacía
Empty Item Export Template,Plantilla de exportación de artículos vacíos
From:,De:
To:,Para:
Message:,Mensaje:
Invalid row format,Formato de fila no válido
Missing required field: sku or vendor_sku,Campo obligatorio que falta: sku or vendor_sku
Missing required field: sku,Falta campo obligatorio: sku
Duplicate sku within file,Duplicar sku dentro del archivo
Duplicate vendor sku within file,Duplicar proveedor sku dentro del archivo
Neither sku or vendor_sku specified,Ni sku ni vendor_sku especificados
Product not found for ,Producto no encontrado para 
"Vendor sku ""%s"" maps to multiple products (ids: ""%s"")","El proveedor sku ""%s"" se conecta a varios productos (ids: ""%s"")"
Product with ,Producto con 
Missing required field,Faltan campos requeridos
Duplicate tracking_id within file,Duplicar tracking_id en el archivo
Invalid Order or PO ID,Orden no válida o ID de pedido
Duplicate tracking_id,Duplicar tracking_id
Invalid model for %s (%s),Modelo no válido para%s (%s)
Added new vendor/product association,Se agregó una nueva asociación de proveedor / producto
Unsupported destination '%s,Destino no admitido '%s
Could not write to file '%s,No se pudo escribir en el archivo '%s
Tracking ID %s was added,Se ha agregado el ID de seguimiento%s
Could not read from file '%s,No se pudo leer del archivo '%s
Invalid local destination '%s,Destino local no válido '%s
Import/Export Batches,Lotes de importación / exportación
Export Stock POs,Exportar pedidos de acciones
Import Stock POs,Importar pedidos de acciones
No Action,Sin acción
Rename,Renombrar
Move,Mover
Rename+Move,Cambiar nombre + mover
Realtime,Tiempo real 
Full,Completo
Manual,Manuales
Scheduled,Programado
Missed,Perdidos
Processing,Procesando
Exporting,Exportando...
Importing,Importando
Empty,Vacío
Success,Éxito
Partial,Parcial
New,Nuevo
* No export,* Sin exportación
Manual only,Sólo manual
Auto Scheduled,Auto programado
Instant,instante.
Instant by status,Instantáneo por estado
* No import,Sin importación
Vendor's Default locations,Ubicación predeterminada del proveedor
* Use vendor default,* Usar predeterminado de proveedor
Yes (manual only),Sí (sólo manual)
Yes (manual and scheduled),Sí (manual y programado)
Update only first product,Actualizar sólo el primer producto
Update all products,Actualizar todos los productos
Skip and report error,Omitir y informar del error
Dropship Vendor,Proveedor de Dropship
Registration ID,Identificación de Registro
Manage Registrations,Gestión de inscripciones
Grid,Cuadrícula 
List,Lista 
Home,Inicio
Go to Home Page,Ir a la página de inicio.
Vendor Registrations,Registros de proveedores
Please select registration(s),"Por favor, seleccione registro (s)"
Thank you for application. Instructions were sent to your email to confirm it,Gracias por la aplicación. Se enviaron instrucciones a su correo electrónico para confirmarlo
"Thank you for application. As soon as your registration has been verified, you will receive an email confirmation","Gracias por la aplicación. Tan pronto como se haya verificado tu registro, recibirás un correo electrónico de confirmación"
Incorrect CAPTCHA.,CAPTCHA incorrecto.
MicroSite Options,Opciones de MicroSite
"Enable ""System View"" menu item in vendor portal","Habilitar el elemento de menú ""Vista del sistema"" en el portal de proveedores"
"If enabled this option gives vendors limited access to admin area to create new products, update existing (filtered by Dropship Vendor attribute). The option may be overridden on vendor level.","Si esta opción está habilitada, los proveedores tendrán acceso limitado al área de administración para crear nuevos productos, actualizar los existentes (filtrado por el atributo Vendedor de Dropship). La opción puede anularse a nivel de proveedor."
Allow per vendor sudomain level selection,Permitir selección de nivel de sudomain por proveedor
Subdomain level to use for vendor,Nivel de subdominio a utilizar para el proveedor
Landing page title,Título de la página de destino
Landing page Meta Keywords,Página de destino Meta Palabras clave
Landing page Meta Description,Página de destino Meta Descripción
Use this vendor as a template for new registrations,Utilice este proveedor como plantilla para nuevos registros
Update Store Base URL,Actualizar la URL base de la tienda
Automatically approve vendor applications,Aprobar automáticamente las aplicaciones de los proveedores
Registration Confirmation Email Template,Plantilla de correo electrónico de confirmación de registro
New Vendor Welcome Email Template,Nueva plantilla de correo electrónico de bienvenida del proveedor
Carriers to allow during vendor registration,Operadores a permitir durante el registro del proveedor
New Registrations Receiver(s),Nuevos Registros Receptor (es)
New Registrations Email Subject,Nuevas inscripciones Asunto del correo electrónico
New Registrations Template,Nueva Plantilla de Registros
Staging Website,Sitio web de puesta en escena
Product attributes to HIDE from vendors,Atributos del producto a OCULTAR de los proveedores
Show all vendor products on frontend (including multivendor associations),Mostrar todos los productos del proveedor en el frontend (incluidas las asociaciones de proveedores múltiples)
Enable filter vendor categories on frontend,Habilitar categorías de proveedores de filtros en la interfaz
Stick microsite products in cart,Stick microsite productos en el carrito
"Products that added to cart from vendor microsite will be stuck to that vendor regardless of decision method <br> ""Yes and display vendor"" - will display vendor name as item custom option ","Los productos que se agregaron al carrito desde el micrositio del proveedor se pegarán a ese proveedor sin importar el método de decisión. ""Sí y el proveedor de la pantalla"": mostrará el nombre del proveedor como elemento opción personalizada "
Joined field with this alias is already declared,El campo unido con este alias ya está declarado
"Invalid alias, already exists in joined attributes","Alias ??no válido, ya existe en los atributos unidos"
"Invalid alias, already exists in joint attributes.","Alias ??no válido, ya existe en atributos conjuntos."
"%s"" action is not allowed","%S ""la acción no está permitida"
Incomplete form data,Datos de forma incompleta
Passwords do not match,Las contraseñas no coinciden
"This subdomain is already taken, please choose another.",Este nombre de usuario ya está en uso. Por favor elija otro.
From URL Path (domain.com/vendor),Desde la ruta URL (domain.com/vendor)
2nd level subdomain (vendor.com),Subdominio de segundo nivel (vendor.com)
3rd level subdomain (vendor.domain.com),Subdominio de tercer nivel (vendor.domain.com)
4th level subdomain (vendor.subdomain.domain.com),Subdominio de 4º nivel (vendor.subdomain.domain.com)
5th level subdomain (vendor.subdomain2.subdomain1.domain.com),Subdominio de 5º nivel (vendor.subdomain2.subdomain1.domain.com)
* Use Config,* Utilizar Config
Yes and activate,Sí y activar
Yes and display vendor,Sí y proveedor de visualización
Yes (only when in stock),Sí (sólo cuando está en stock)
Yes (only when in stock) and display vendor,Sí (sólo cuando está en stock) y mostrar el proveedor
Enable Selected,Habilitar seleccionado
Disable Selected,Desactivar seleccionado
* None,ninguna
* Use config,* Utilizar config
Invalid base url type,Tipo de URL de base no válido
Bad request.,Solicitud Incorrecta
Wrong confirmation key.,Tecla de confirmación errónea.
Failed to confirm vendor account.,Error al confirmar la cuenta del proveedor.
Wrong vendor account specified.,Cuenta de proveedor incorrecta especificada.
Vendor Registration,Registro de proveedores
Default Vendor Landing Page,Página de destino predeterminada del proveedor
Registration Form,Formulario de inscripción
Fieldsets,Campos
Skip confirmation email,Omitir correo electrónico de confirmación
New Vendor Confirmation Email Template,Nueva plantilla de correo electrónico de confirmación del proveedor
New Vendor Reject Email Template,Nueva plantilla de rechazo de correo electrónico del proveedor
Comments,comentarios
Yes Agree,Si de acuerdo
Drop Shipping Vendors,Vendedores del envío de la gota
Magento SKU,Magento SKU
Magento Price,Precio Magento
Invalid parameters.,Parámetros inválidos
The vendors have been updated successfully.,Los proveedores se han actualizado correctamente.
No changes were neccessary.,No hubo cambios necesarios.
The vendors stock has been checked successfully.,El stock de proveedores ha sido verificado con éxito.
Available,Disponible
To be published,Para ser publicado
Reprinting in progress,Reimpresión en curso
Currently unavailable,Actualmente no está disponible.
Change of distributor in progress,Cambio de distribuidor en curso
Sold out,Agotado
Unavailable until further notice,No disponible hasta nuevo aviso
To be republished,Para volver a publicar
Total Quantity Method,Cantidad total Método
Hide out of stock vendors,Ocultar los proveedores de existencias
Default status for product multivendor data,Estado predeterminado de los datos de múltiples proveedores del producto
"Invalid data: vendor_id=%s, product_id=%s","Datos no válidos: vendor_id =%s, product_id =%s"
Failed to update vendor stock: vendor is not associated with this item (%s),Error al actualizar el stock del proveedor: el proveedor no está asociado con este elemento (%s)
"Only ""%s"" of this product in stock.","Sólo ""%s"" de este producto en stock."
This product is not available in the requested quantity. %s of the items will be backordered.,Este producto no está disponible en la cantidad solicitada. Los%s de los artículos estarán pendientes.
This product is not available for your country.,Este producto no está disponible para su país.
"%s"" is not available for your country.","%S ""no está disponible para su país."
This product is not available for your location.,Este producto no está disponible para su ubicación.
This product is not available for your zipcode.,Este producto no está disponible para su código postal.
"%s"" is not available for your location.","%S ""no está disponible para su ubicación."
"%s"" is not available for your zipcode.","%S ""no está disponible para su código postal."
The minimum quantity allowed for purchase is %s.,La cantidad mínima permitida para la compra es%s.
"The minimum quantity allowed for purchase for ""%s"" is %s.","La cantidad mínima permitida para la compra de ""%s"" es%s."
The maximum quantity allowed for purchase is %s.,La cantidad máxima permitida para la compra es%s.
"The maximum quantity allowed for purchase for ""%s"" is %s.","La cantidad máxima permitida para la compra de ""%s"" es%s."
"%s"" is currently out of stock.","%S ""está actualmente agotado."
"Only ""%s"" of ""%s"" in stock.","Sólo ""%s"" de ""%s"" en stock."
"%s"" is not available in the requested quantity. %s of the items will be backordered.","%S ""no está disponible en la cantidad solicitada.%S de los artículos estará en espera."
Some of the products cannot be ordered in requested quantity.,Algunos de los productos no se pueden pedir en la cantidad solicitada.
Stock configuration problem,Problema de configuración de existencias
Not all products are available in the requested quantity,No todos los productos están disponibles en la cantidad solicitada
Allow Backorder by Availability State/Date,Permitir retraso por estado de disponibilidad / fecha
Track Reserved Qty,Rastrear la cantidad reservada
Use Avail State/Date to Allow Qty Below 0,Utilizar estado / fecha de disponibilidad para permitir Qty por debajo de 0
Use Avail State/Date to Allow Qty Below 0 and Notify Customer,Utilizar el estado de disponibilidad / fecha para permitir la cantidad inferior a 0 y notificar al cliente
Used,Usado
Used: As new,Usado: Como nuevo
Used: Very Good,Usado - Muy Bueno
Used: Good,Usado: Bueno
Used: Just OK,Usado: Simplemente bien
A product type is not defined for the indexer.,Un tipo de producto no está definido para el indexador.
Po ID,Po ID
Payout Info,Información de pago
Method Specific Details,Detalles específicos del método
Payout Additional Details,Payout Detalles Adicionales
Paypal Correlation ID,ID de correlación de Paypal
Payment Paid,Pago pagado
Payment Due,Fecha de pago
Messages,Mensajes
Manage Payouts,Administrar pagos
Payout Information,Información de pago
Delete Payout,Eliminar pago
Create Payout(s),Crear pago (s)
Sender Transaction ID,ID de la transacción del remitente
Pay,Pagar 
Vendor Payouts,Pagos de proveedores
Generate Payouts,Generar pagos
Payout was successfully paid,El pago fue pagado con éxito
Payout '%s' no longer exists,El pago '%s' ya no existe
Payout was successfully saved,El pago se ha guardado correctamente
Payout was successfully deleted,El pago se eliminó correctamente
Please select payout(s),Seleccione el (los) pago (s)
%s of %d record(s) were successfully deleted,%S de%d registro (s) se eliminaron correctamente
%s of %d record(s) were successfully updated,%S de%d registro (s) se actualizaron correctamente
There was an error while updating payout(s) status,Se ha producido un error al actualizar el estado de pago (s)
%s of %s payouts  were successfully paid,%S de los pagos de%s se han pagado con éxito
There was an error during payout(s) mass pay,Se ha producido un error durante el pago (s) de pago en masa
Paypal,paypal
Check,Comprobar
Bank Transfer,Transferencia bancaria
Offline,Desconectado
Payout Options,Opciones de pago
Predefined Payout Schedules,Planes de pagos predefinidos
Payout Paypal Options,Payout Opciones de Paypal
Use IPN to complete payout,Utilice IPN para completar el pago
Account Email,Correo Electrónico De La Cuenta
Password,Contraseña
Signature,Firma
Please select vendors,Seleccione proveedores
This payout already paid,Este pago ya pagado
This payout is canceled,Este pago se cancela
This payout wait paypal IPN,Este pago espera PayPal IPN
"Payout ""total due"" must be positive",El pago total debe ser positivo
Empty payout method,Método de pago vacío
Unknown payout method: '%s,Método de pago desconocido:%s
Can't find payout method class,No se puede encontrar la clase de método de pago
Successfully send payment. Waiting for IPN to complete.,Envíe el pago con éxito. Esperando que IPN se complete.
Successfully paid,Pagado con éxito
* No Payout,* Sin pago
Auto,Automático
Use Statement preferences,Utilizar preferencias de declaración
Custom,Personalizado
Hold,Bloquear
Waiting for Paypal IPN,Esperando Paypal IPN
* Use Custom,* Utilizar personalizado
There was error during payment finalization.,Se produjo un error durante la finalización del pago.
Paypal Adaptive,Paypal Adaptive
Application ID,ID de solicitud
Adaptive Payments,Pagos Adaptativos
"Accept credit cards and PayPal payments securely and send chained payments to multiple recipients (vendors), one after the other. Each recipient can take a cut of the payment (vendor payout).","Acepte las tarjetas de crédito y los pagos de PayPal de forma segura y envíe los pagos encadenados a varios destinatarios (vendedores), uno tras otro. Cada destinatario puede recibir un recorte del pago (pago del proveedor)."
