Download Labels,Etiketten herunterladen
3rd Party Phone,3rd Party Telefon
Default Dry Ice Weight (KG),Default Trockeneis Gewicht (KG)
Drop Off Type,Drop-off-Typ
Label Stock Type,Etikettendruck
PDF Label Width,PDF Etikettenbreite
PDF Label Height,PDF Label Höhe
Signature Option,Unterschrift Option
Insurance,Versicherung 
Shipment notification types,Versandmeldungstypen
Shipment notification email(s),Versand Benachrichtigung E-Mail (s)
Comma separated,Komma getrennt
ITN (Internal Transaction Number),ITN (interne Transaktionsnummer)
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","Für Sendungen, die eine EEI / SED benötigen, geben Sie die von der AES erhaltene ITN-Nummer ein, wenn Sie Ihre Sendung oder die Freistellungsnummer der FTR (Foreign Trade Regulations) eingereicht haben. <br/> Richtiges Format: <strong> AES XYYYYMMDDNNNNNN </ strong> wobei YYYYMMDD ist Datum und NNNNNN sind Zahlen, die von der AES erzeugt werden. <br/> Bewerben Sie sich bei <a href=""http://www.aesdirect.gov""> http://www.aesdirect.gov </a>"
Endicia Settings,Endicia Einstellungen
Endicia API URL,Endicia API URL
Label Test Mode,Etikettentestmodus
Requester ID,Anforderungs-ID
Account ID,Account ID
Pass Phrase,Pass Phrase
New Pass Phrase,Neue Passphrase
Entering new passpharse will issue Endicia ChangePassPhraseXML API call,Die Eingabe eines neuen Passphars wird Endicia ChangePassPhraseXML API-Aufruf ausgeben
Confirm New Pass Phrase,Neue Passphrase bestätigen
Default Mail Class,Standard-Mail-Klasse
Default Mail Piece Shape,Default Mail Piece Shape
Stealth,Verbergen
Delivery Confirmation,Lieferbestätigung
Signature Confirmation,Unterschrift Bestätigung
Return Receipt,Rückschein
Electronic Return Receipt,Elektronische Rücksendung
Insured Mail,Versicherte Post
Restricted Delivery,Beschränkte Lieferung
COD,NACHNAHME
Balance Threshold,Balance Threshold
Leave empty to disable automatic funding of the account,"Lassen Sie leer, um die automatische Finanzierung des Kontos zu deaktivieren"
Recredit Amount,Recredit Betrag
UPS Settings,USV-Einstellungen
UPS API URL,UPS-API-URL
UPS Shipper Number,UPS-Absender Nummer
3rd Party Country,Drittland
3rd Party Postal Code,3rd-Party-Postleitzahl
Verbal Confirmation,Mündliche Bestätigung
Pickup Type,Pickup Typ
Container Type,Behältertyp
Destination Type,Zieltyp
* Select category,Kategorie auswählen
Marked as shipped,Als versendet markiert
Unknown,Unbekannt
Error connecting to API: %s,Fehler beim Verbinden mit API:%s
Tracking ID %s was picked up from %s,Tracking ID%s wurde von%s abgeholt
Tracking ID %s was delivered to customer,Tracking ID%s wurde an Kunden ausgeliefert
Shipment has been complete,Der Versand ist abgeschlossen
PO #%s [%s],PO #%s [%s]
%s (qty: x%s) [status: %s],%S (Anzahl: x%s) [Status:%s]
%s (qty: %s),%S (Anzahl:%s)
Vendor SKU:,Lieferant SKU:
Commission Percent,Kommission Prozent
Transaction Fee,Transaction fee: 
Commission Amount,Kommissionsbetrag
Tax Amount,Steuerbetrag
Cost,Kosten
Row Cost,Reihenkosten
Row Total,Reihe insgesamt
"Invalid stock availability method callback: %s, %s","Ungültige Bestandsverfügbarkeit Methode Rückruf:%s,%s"
Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s]),Gruppierte Raten Berechnung: qty constraint fehlgeschlagen für item (%s [SKU:%s])
Selected required options are not available.,Ausgewählte erforderliche Optionen sind nicht verfügbar.
Required options are not selected.,Erforderliche Optionen sind nicht ausgewählt.
Unirgy Vendor-Product Associations Indexer,Unirgy Vendor-Produktverbände Indexer
Error parsing confirmation response,Fehler beim Analysieren der Bestätigungsantwort
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","Der lokale Anbieter kann nicht gelöscht werden. Bitte ändern Sie zuerst ""Konfiguration / Drop Shipping / Vendor Options / Local Vendor"""
Order status changed after POs generated,Auftragsstatus geändert nach erstellten POs
ORDER WAS CANCELED: shipment status was changed to %s,ORDER WURDE ABGESCHLOSSEN: Der Sendungsstatus wurde in%s geändert
Page %s of %s,Seite %s von %s
Packingslip # ,{0}?{/0} {1}        {/1} {2}Lieferschein{/2} 
Qty,Anz.
Products,Produkte
Order # ,Bestellungs-Nr. 
Purchase Order # ,Auftragsnummer 
Order Date: ,Bestellungsdatum 
Purchase Order Date: ,Bestelldatum: 
SOLD TO:,VERKAUFT AN:
SHIP TO:,Liefern nach
Payment Method:,Zahlungsmethode:
Payment Method,Zahlweise
Shipping Method:,Liefermethode:
Total Shipping Charges,Gesamtversandkosten
Carrier,Transportdienstleister
Number,Nummer 
N/A,Unzutreffend 
No orders found for this period.,Für diesen Zeitraum wurden keine Bestellungen gefunden.
%s for %s - Page %s of %s,%S für%s - Seite%s von%s
Statement #,Erklärung
Statement Date,Datum des Kontoauszugs
Date,Datum
Order#,Auftrag
Product,Produkt
Comm (%)/Trans,Comm (%) / Trans
Net Amount,Netto-Betrag
Adjustment#,Anpassung
Type,Type 
Payout,Auszahlung
Due,Fällig 
Comm (%),Comm (%)
Total Product Revenue,Gesamtproduktumsatz
Total Tax,Total MWSt
Total Tax (non-payable),Gesamtsteuer (nicht zahlbar)
Total Shipping,Total Versandkosten
Total Shipping (non-payable),Gesamtversand (nicht zahlbar)
Total Discount,Totaler Rabatt
Total Discount (non-payable),Gesamtrabatt (nicht zahlbar)
Total Handling,Gesamtbearbeitung
Total Commission,Gesamte Provision
Total Transaction Fees,Summe Transaktionsgebühren
Total Adjustments,Gesamtanpassungen
Total Refunds,Gesamterstattung
Page %s,Seite %s
Adjust,Anpassen
Statement Totals,Statement Summen
Handling,Handh
Comm,Comm
Trans,Trans
Refund,Rückerstattung
Payment,Zahlung
Commission,Provision
Trans.Fee,Trans.Fee
Image file was not found: %s,Bilddatei wurde nicht gefunden:%s
Use config,Verwenden Sie config
Disable,Deaktivieren 
When Tracking ID is added,Wenn die Tracking-ID hinzugefügt wird
When Vendor Shipment is complete,Wenn die Lieferung des Verkäufers abgeschlossen ist
When Order is completely shipped,Wenn die Bestellung vollständig ausgeliefert wird
Fail estimate and show the error,Fail schätzen und den Fehler anzeigen
Skip failed carrier call and show prices without,Überspringen Sie fehlgeschlagene Trägeranrufe und zeigen Sie die Preise ohne
* Do not change,Unverändert
Pending,anstehend
Exported,Exportiert
Acknowledged,anerkannt
Backorder,Nachlieferung
On Hold,Warten
Ready to Ship,Versandfertig
Pending Pickup,Ausstehende Abholung
Label(s) printed,Etikett (e) gedruckt
Shipped,Verschickt
Delivered,Zugestellt
Canceled,Abgebrochen
Returned,Ist zurückgekommen
* Default (global setting),* Standard (globale Einstellung)
* Use Vendor Email,* Vendor Email verwenden
When all items are shipped,Wenn alle Artikel versandt werden
At least one item shipped,Mindestens ein Einzelteil versendet
* Magento Bundled Fonts,* Magento Gebündelte Schriften
Times New Roman,Times New Roman
Helvetica,Helvetica
Courier,Kurier
Sum of order vendors estimates,Summe der Auftragsverkäufer schätzt
Maximum of order vendors estimates,Maximale Auftragsverkäufer schätzt
* Automatic,automatisch
Sendmail,E-Mail senden
Active,Aktiv 
Inactive,Inaktiv
Disabled,Deaktiviert 
Rejected,Abgelehnte
Pending Membership,Ausstehende Mitgliedschaft
Suspended Membership,Suspendierte Mitgliedschaft
Canceled Membership,Abgesagte Mitgliedschaft
Expired Membership,Abgelaufene Mitgliedschaft
* No notification,* Keine Benachrichtigung
* Email notification,* Email Benachrichtigung
Invoice,Rechnung
Include,Einschließen
Exclude but Show,Ausschließen aber anzeigen
Exclude and Hide,Ausschließen und ausblenden
* Local database,* Lokale Datenbank
Always in stock,Immer auf Lager
Use system configured handling fee only,Verwenden Sie das System nur für die Bearbeitungsgebühr
Use vendor configured handling fee only,Verwenden Sie die vom Hersteller konfigurierte Bearbeitungsgebühr nur
Add vendor handling fee to the system handling fee,Beenden Sie die Bearbeitungsgebühr für die Bearbeitungsgebühr
* Disable tracking API polling,* Deaktivieren Sie das Tracking-API-Polling
* Use label carrier API if available,"* Etikettendrucker API verwenden, falls vorhanden"
No label printing,Kein Etikettendruck
PDF,PDF
EPL,EPL
ZPL,ZPL
4X6,X:
Next Day Air Early AM,Nächster Tag Air Early AM
Next Day Air Early AM Letter,Nächster Tag Air Early AM Letter
Next Day Air,Nächster Tag Luft
Next Day Air Letter,Nächster Tag Air Letter
Next Day Air Intra (Puerto Rico),Nächster Tag Air Intra (Puerto Rico)
Next Day Air Saver,Nächster Tag Air Saver
Next Day Air Saver Letter,Nächster Tag Air Saver Letter
2nd Day Air AM,Flugpost am zweiten Tag
2nd Day Air AM Letter,2. Tag Air AM Brief
2nd Day Air,2. Tag Luft
2nd Day Air Letter,2. Tag Air Letter
3 Day Select,3 Tagesauswahl
Ground,Boden
Ground Commercial,Ground Commercial
Ground Residential,Ground Residential
Canada Standard,Kanada Standard
Worldwide Express,Weltweit Express
Worldwide Express Saver,Weltweit Express Saver
Worldwide Express Letter,Weltweiter Expressbrief
Worldwide Express Plus,Weltweit Express Plus
Worldwide Express Plus Letter,Weltweit Express Plus Brief
Worldwide Expedited,Weltweit beschleunigt
UPS Next Day Air,UPS am nächsten Tag Luft
UPS Second Day Air,UPS Zweite Tagesluft
UPS Ground,UPS Ground
UPS Worldwide Express,UPS Worldwide Express
UPS Worldwide Expedited,UPS weltweit beschleunigt
UPS Standard,UPS Standard
UPS Three-Day Select,UPS Drei-Tages-Auswahl
UPS Next Day Air Saver,UPS am nächsten Tag Air Saver
UPS Next Day Air Early A.M.,UPS am nächsten Tag Air Early AM
UPS Worldwide Express Plus,UPS Worldwide Express Plus
UPS Second Day Air A.M.,UPS Zweiter Tag Air AM
UPS Saver,UPS Saver - Zustellung am nächsten Werktag in ganz Europa
UPS Today Standard,UPS heute Standard
UPS Today Dedicated Courrier,UPS heute Dedicated Courrier
UPS Today Intercity,UPS Heute Intercity
UPS Today Express,UPS heute Express
UPS Today Express Saver,UPS heute Express Saver
Sender,Absender
Third Party,Drittanbieter
Regular Pickup,Regelmäßige Abholung
Request Courier,Anfrage Kurier
Drop Box,Drop Box
Business Service Center,Business Service Center
Station,Bahnhof
PDF: Paper 4x6,PDF: Papier 4x6
PDF: Paper 4x8,PDF: Papier 4x8
PDF: Paper 4x9,PDF: Papier 4x9
PDF: Paper 7x4.75,PDF: Papier 7x4.75
PDF: Paper 8.5x11 Bottom Half Label,PDF: Papier 8.5x11 Bottom Half Label
PDF: Paper 8.5x11 Top Half Label,PDF: Papier 8.5x11 Top Half Label
EPL: Stock 4x6,EPL: Lager 4x6
EPL: Stock 4x6.75 Leading Doc Tab,EPL: Lager 4x6.75 Leading Doc Tab
EPL: Stock 4x6.75 Trailing Doc Tab,EPL: Stock 4x6.75 Nachlaufende Tab Tab
EPL: Stock 4x8,EPL: Lager 4x8
EPL: Stock 4x9 Leading Doc Tab,EPL: Lager 4x9 Leading Doc Tab
EPL: Stock 4x9 Trailing Doc Tab,EPL: Stock 4x9 Trailing Doc Tab
All,Alle
Limit by order shipping method,Begrenzung nach Auftrags Versandart
Shipment,Sendung
Purchase Order,Einkauf
Available for Shipping Date,Verfügbar für Versanddatum
Delivery Method,Versandmethode
Shipping Status,Versandstatus
Ascending,Aufsteigend
Descending,Absteigend
Fixed,Fest
Percent of shipping amount,Prozent der Versandmenge
Percent of vendor subtotal,Prozentsatz der Lieferanten-Zwischensumme
No action,Keine Aktion gewählt
Enable / Disable vendor products,Aktivieren / Deaktivieren von Lieferantenprodukten
* Default System Rules,* Standard-Systemregeln
Simple Custom Rules,Einfache benutzerdefinierte Regeln
Advanced Custom Rules,Erweiterte benutzerdefinierte Regeln
Total Price,Gesamtpreis
Total Cost,Gesamtkosten
Line Number,Zeilennummer
Weight,Gewicht
Vendor Package,Lieferumfang
Row Separate Rate,Reihe getrennte Rate
Item Separate Rate,Einzelteil getrennte Rate
Assign to local vendor and leave vendor products enabled,Weisen Sie dem lokalen Lieferanten zu und lassen Sie die Produkte des Herstellers freigeben
Assign to local vendor and disable vendor products,Weisen Sie dem lokalen Lieferanten zu und deaktivieren Sie Produkte des Herstellers
Delete vendor products,Löschen von Lieferantenprodukten
* All Countries,Alle Länder
Invalid request for source options: ,Ungültige Anfrage für Quelloptionen: 
This item is not available for your location.,Dieser Artikel ist für Ihren Standort nicht verfügbar.
This item is not available for your country.,Dieser Artikel ist für Ihr Land nicht verfügbar.
This item is not available for your zipcode.,Dieser Artikel ist für Ihre Postleitzahl nicht verfügbar.
This product is currently out of stock.,Dieses Produkt ist derzeit nicht auf Lager.
Some items are not available for your location.,Einige Artikel sind nicht für Ihren Standort verfügbar.
Some items are not available for your country.,Einige Artikel sind für Ihr Land nicht verfügbar.
Some items are not available for your zipcode.,Einige Artikel sind nicht für Ihre Postleitzahl verfügbar.
Some of the products are currently out of stock,Einige der Produkte sind derzeit nicht auf Lager
Undefined product type.,Undefinierter Produkttyp.
Internal adjustment to sync payout with statement total due,Interne Anpassung an sync Auszahlung mit Anweisung total fällig
This account is not confirmed.,Dieses Konto wird nicht bestätigt.
Invalid stock check callback: %s,Ungültige Bestandskontrolle Rückruf:%s
This URL Key is already used for different vendor (%s). Please choose another.,Dieser URL-Schlüssel wird bereits für verschiedene Hersteller (%s) verwendet. Bitte wählen Sie eine andere.
This URL Key is reserved. Please choose another.,Dieser URL-Schlüssel ist reserviert. Bitte wählen Sie eine andere.
A vendor with supplied email already exists.,Ein Lieferant mit gelieferter E-Mail existiert bereits.
A vendor with supplied email and password already exists.,Ein Anbieter mit gelieferter E-Mail und Passwort ist bereits vorhanden.
A vendor with supplied name already exists.,Ein Lieferant mit geliefertem Namen existiert bereits.
Location,Ort
Error,Fehler
Updated At,Aktualisiert um
Sku,Sku
Stock Qty,Lager Menge
Stock Qty Add,Stock Menge Hinzufügen
Vendor Sku,Verkäufer Sku
Item SKU,Artikel SKU
Batch Info,Batch-Info
Use Template,Vorlage verwenden
Batch notes,Batch-Notizen
Export to vendor's default locations,Exportieren Sie zu den Standardstandorten des Herstellers
Default locations,Standardstandorte
Export and download file,Datei exportieren und herunterladen
Download file,Datei herunterladen
Download file name,Dateinamen herunterladen
"If empty, will be autogenerated","Wenn leer, wird autogeneriert"
Export to custom locations,Export an benutzerdefinierte Standorte
Custom locations,Kundenspezifische Standorte
"Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference"">reference</a> for location format, separate multiple locations with new line","Verwenden Sie <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference""> Referenz </a> für das Standortformat, trennen Sie mehrere Standorte mit neuer Zeile"
Number of Rows,Anzahl der Zeilen
Content,Inhalt 
Stock Status,Lagerbestand
Special From,Spezial aus
Special To,Speziell zu
Tracking ID,Tracking-ID
Has error,Hat einen Fehler
Error Info,Fehler Info
Import from vendor's default locations,Import von den Standardstandorten des Herstellers
Import from uploaded file,Import aus hochgeladener Datei
Upload file,Datei hochladen
Import from pasted content,Import aus eingefügtem Inhalt
Paste content,Inhalte einfügen
Import from custom locations,Import von benutzerdefinierten Standorten
Manage Batches,Chargen verwalten
Batch Information,Batch-Informationen
Data Rows,Datenzeilen
Export Orders,Exportaufträge
Import Orders,Aufträge importieren
Export Stock PO,Export Lager PO
Import Stock PO,Einfuhr Lager PO
Import Inventory,Import Inventar
Delete Batch,Stapel löschen
Create Batch(es),Batch (s) erstellen
Batch Type,Chargenart
Batch Status,Chargenstatus
# of Rows,Anzahl der Zeilen
Scheduled At,Geplant bei
Vendor PO Import/Export Batches,Vendor PO Import / Export Chargen
Create Stock PO Export Batch,Erstellen von Aktien-PO-Export-Batch
Create Stock PO Import Batch,Erstellen von Aktien PO Import Batch
Create Order Export Batch,Auftragsauswahl erstellen
Create Tracking Import Batch,Erstellen Sie Tracking-Import-Batch
Create Inventory Import Batch,Inventar-Import-Batch erstellen
Location ID,Lokation (ID)
Batch ID,Batch-ID
Batch Created At,Batch Erstellt bei
Hist Updated At,Hist aktualisiert bei
Retry,Wiederholen
Vendor PO Import/Export History,Vendor PO Import / Export Geschichte
* All Vendors *,* Alle Verkäufer *
Batch was successfully saved,Batch wurde erfolgreich gespeichert
Batch was successfully deleted,Batch wurde erfolgreich gelöscht
Please select batch(es),Bitte wählen Sie Batch (s)
There was an error while updating batch(es) status,Beim Aktualisieren des Batch-Status ist ein Fehler aufgetreten
There was an error while updating history(ies) status,Beim Aktualisieren des Status der Historie (ies) ist ein Fehler aufgetreten
Total of %d record(s) were retried,Summe%d Aufzeichnung (en) wurden wiederholt
There was an error while retrying distribution: ,Beim Wiederholen der Verteilung ist ein Fehler aufgetreten: 
Processed %s import rows,Verarbeitete%s Importzeilen
Empty input,Leere Eingabe
Empty delimiter,Leeres Trennzeichen
Empty enclosure,Leergehäuse
Empty fields,Leerfelder
"Required ""%s"" (or ""%s"") field is not specified","Erforderliches Feld ""%s"" (oder ""%s"") ist nicht angegeben"
"Required ""%s"" field is not specified","Erforderliches Feld ""%s"" wird nicht angegeben"
"%s"" field is not allowed. will be ignored.","%S ""Feld ist nicht erlaubt. Wird ignoriert."
Invalid rows: %s,Ungültige Zeilen:%s
Empty rows: %s,Leere Zeilen:%s
Missing required field in rows: %s,Fehlende Pflichtfeld in Zeilen:%s
Duplicate sku within file in rows: %s,Duplizieren Sie Sku in Datei in Zeilen:%s
Product not found for sku in rows: %s,Produkt nicht für Sku in Zeilen gefunden:%s
Products not associated with vendor in rows: %s,"Produkte, die nicht mit dem Lieferanten in Zeilen verknüpft sind:%s"
Batch Import/Export,Batch Import / Export
Batches,Chargen
Action History,Aktionsgeschichte
Orders Batch Options,Aufträge Batch-Optionen
Default Email Sender,Standard-E-Mail-Absender
Default Email Subject,Default E-Mail Betreff
Default Export Orders Filename,Standard-Exportaufträge Dateiname
Export On Po Statuses,Export auf Po Status
Save inventory import data in batch,Speichern Sie Inventur-Importdaten im Batch
Allow import new vendor/product association with inventory import,Importieren Sie den neuen Lieferanten / Produktverband mit dem Inventarimport
This option applicable to multivendor add-on,Diese Option gilt für Multivendor-Add-On
If import by vendor sku and it maps to multiple products,Wenn der Import von Vendor Sku und es Karten zu mehreren Produkten
Replace new line with custom char in fields during export,Erstelle neue Zeilen mit benutzerdefinierten Zeichenfolgen während des Exports
This supports only fields with simple format [var.name] (Magento CMS templating conventions {{var var.name}} not supported),Dies unterstützt nur Felder mit einfachem Format [var.name] (Magento CMS Templating Conventions {{var var.name}} nicht unterstützt)
Custom char to replace new line in fields during export,"Benutzerdefinierte Zeichen, um neue Zeile in Feldern beim Export zu ersetzen"
Custom templates for manual import,Benutzerdefinierte Vorlagen für manuellen Import
Custom templates for manual export,Benutzerdefinierte Vorlagen für manuellen Export
Statement Export Template,Statement Export Vorlage
Invalid vendor,Ungültiger Verkäufer
"Please select ""Use Template","Bitte wählen Sie ""Vorlage verwenden"""
"Errors during importing, please see individual batches for details","Fehler beim Import, siehe Einzelchargen für Details"
Invalid batch type,Ungültiger Batch-Typ
Empty Export Template,Leere Exportvorlage
Empty Item Export Template,Leere Element-Exportvorlage
From:,Von:
To:,An:
Message:,Nachricht:
Invalid row format,Ungültiges Zeilenformat
Missing required field: sku or vendor_sku,Fehlende Pflichtfeld: sku oder vendor_sku
Missing required field: sku,Fehlende Pflichtfeld: Sku
Duplicate sku within file,Duplizieren Sie Sku in der Datei
Duplicate vendor sku within file,Vervielfachter Verkäufer sku innerhalb der Datei
Neither sku or vendor_sku specified,Weder sku oder vendor_sku angegeben
Product not found for ,Produkt wurde nicht gefunden 
"Vendor sku ""%s"" maps to multiple products (ids: ""%s"")","Vendor sku ""%s"" Karten zu mehreren Produkten (ids: ""%s"")"
Product with ,Produkt mit 
Missing required field,Pflichtfeld '%1' nicht befüllt
Duplicate tracking_id within file,Doppelte tracking_id in der Datei
Invalid Order or PO ID,Ungültige Bestellung oder Bestellnummer
Duplicate tracking_id,Doppelte tracking_id
Invalid model for %s (%s),Ungültiges Modell für%s (%s)
Added new vendor/product association,Neue Anbieter / Produktvereinigung hinzugefügt
Unsupported destination '%s,Nicht unterstütztes Ziel '%s
Could not write to file '%s,Konnte nicht in die Datei '%s schreiben
Tracking ID %s was added,Tracking ID%s wurde hinzugefügt
Could not read from file '%s,Konnte nicht aus der Datei '%s lesen
Invalid local destination '%s,Ungültiges lokales Ziel '%s
Import/Export Batches,Import / Export von Chargen
Export Stock POs,Export Aktienpost
Import Stock POs,Einfuhr von Lagerbeständen
No Action,Keine Aktion gewählt
Rename,Umbenennen
Move,Verschieben
Rename+Move,Umbenennen + Verschieben
Realtime,Echtzeit.
Full,Voll 
Manual,Handbuch
Scheduled,Geplant
Missed,Entgangen
Processing,wird bearbeitet
Exporting,Exportieren
Importing,Importiere...
Empty,Leer 
Success,Erfolgreich
Partial,Teilweise
New,Neu 
* No export,* Kein Export
Manual only,Nur manuell
Auto Scheduled,Automatisch geplant
Instant,sofort
Instant by status,Instant nach Status
* No import,* Kein Import
Vendor's Default locations,Vendors Standardstandorte
* Use vendor default,* Vendor Standard verwenden
Yes (manual only),Ja (nur manuell)
Yes (manual and scheduled),Ja (manuell und geplant)
Update only first product,Nur erstes Produkt aktualisieren
Update all products,Aktualisieren Sie alle Produkte
Skip and report error,Überspringen und Fehler melden
Dropship Vendor,Dropship Verkäufer
Registration ID,Registrierungs-ID
Manage Registrations,Registrierungen verwalten
Grid,Raster
List,Liste 
Home,Zuhause
Go to Home Page,Zur Startseite gehen
Vendor Registrations,Lieferantenanmeldungen
Please select registration(s),Bitte wählen Sie die Registrierung (en)
Thank you for application. Instructions were sent to your email to confirm it,"Vielen Dank für die Bewerbung. Anleitungen wurden an Ihre E-Mail geschickt, um es zu bestätigen"
"Thank you for application. As soon as your registration has been verified, you will receive an email confirmation","Vielen Dank für die Bewerbung. Sobald Ihre Anmeldung bestätigt wurde, erhalten Sie eine E-Mail-Bestätigung"
Incorrect CAPTCHA.,Falsches Captcha.
MicroSite Options,MicroSite-Optionen
"Enable ""System View"" menu item in vendor portal","Aktivieren Sie den Menüpunkt ""Systemansicht"" im Lieferantenportal"
"If enabled this option gives vendors limited access to admin area to create new products, update existing (filtered by Dropship Vendor attribute). The option may be overridden on vendor level.","Wenn diese Option aktiviert ist, gibt es dem Anbieter einen eingeschränkten Zugriff auf den Adminbereich, um neue Produkte zu erstellen, die vorhandene Aktualisierung (gefiltert durch Dropship Vendor Attribut). Die Option kann auf Vendor-Ebene überschrieben werden."
Allow per vendor sudomain level selection,Erlauben Sie pro vendor sudomain level Auswahl
Subdomain level to use for vendor,Subdomain-Ebene für den Verkäufer zu verwenden
Landing page title,Landing page title
Landing page Meta Keywords,Zielseite Meta Keywords
Landing page Meta Description,Zielseite Meta Beschreibung
Use this vendor as a template for new registrations,Verwenden Sie diesen Anbieter als Vorlage für Neuanmeldungen
Update Store Base URL,Update-Basis-URL aktualisieren
Automatically approve vendor applications,Automatische Genehmigung von Lieferantenanwendungen
Registration Confirmation Email Template,Registrierungsbestätigung E-Mail-Vorlage
New Vendor Welcome Email Template,Neue Vendor Welcome Email Vorlage
Carriers to allow during vendor registration,Carrier bei der Registrierung des Verkäufers zuzulassen
New Registrations Receiver(s),Neue Registrierungsempfänger
New Registrations Email Subject,Neue Registrierungen E-Mail Betreff
New Registrations Template,Neue Registrierungsvorlage
Staging Website,Staging Website
Product attributes to HIDE from vendors,Produktattribute zu HIDE von Anbietern
Show all vendor products on frontend (including multivendor associations),Zeige alle Vendor Produkte auf Frontend (einschließlich Multivendor Verbände)
Enable filter vendor categories on frontend,Aktivieren Sie Filterklassenkategorien auf Frontend
Stick microsite products in cart,Stick Microsite Produkte im Warenkorb
"Products that added to cart from vendor microsite will be stuck to that vendor regardless of decision method <br> ""Yes and display vendor"" - will display vendor name as item custom option ","Produkte, die dem Korb von Vendor Microsite hinzugefügt wurden, werden an diesen Anbieter unabhängig von der Entscheidungsmethode festhalten. ""Ja und Display-Anbieter"" - wird der Vendor Name als Option benutzerdefinierte Option anzeigen "
Joined field with this alias is already declared,Das Feld mit diesem Alias ??ist bereits deklariert
"Invalid alias, already exists in joined attributes",Ungültiger Alias ??ist bereits in verbundenen Attributen vorhanden
"Invalid alias, already exists in joint attributes.","Ungültiger Alias, existiert bereits in gemeinsamen Attributen."
"%s"" action is not allowed","%S ""ist nicht erlaubt"
Incomplete form data,Unvollständige Formulardaten
Passwords do not match,Passwörter stimmen nicht überein
"This subdomain is already taken, please choose another.","Diese Subdomain ist schon genommen, bitte wähle eine andere."
From URL Path (domain.com/vendor),Von URL-Pfad (domain.com/vendor)
2nd level subdomain (vendor.com),2. Ebene Subdomain (vendor.com)
3rd level subdomain (vendor.domain.com),3. Ebene Subdomain (vendor.domain.com)
4th level subdomain (vendor.subdomain.domain.com),4. Ebene Subdomain (vendor.subdomain.domain.com)
5th level subdomain (vendor.subdomain2.subdomain1.domain.com),5. Stufe Subdomain (vendor.subdomain2.subdomain1.domain.com)
* Use Config,* Verwenden Sie Config
Yes and activate,Ja und aktivieren
Yes and display vendor,Ja und Verkäufer anzeigen
Yes (only when in stock),Ja (nur auf Lager)
Yes (only when in stock) and display vendor,Ja (nur auf Lager) und Display-Verkäufer
Enable Selected,Ausgewählt aktivieren
Disable Selected,Ausgewählt deaktivieren
* None,Keine
* Use config,* Verwenden Sie config
Invalid base url type,Ungültiger Basis-URL-Typ
Bad request.,Ungültige Anfrage
Wrong confirmation key.,Falsche Bestätigungstaste.
Failed to confirm vendor account.,Fehler beim Bestätigen des Kreditorenkontos.
Wrong vendor account specified.,Falsches Kreditorenkonto angegeben.
Vendor Registration,Lieferantenanmeldung
Default Vendor Landing Page,Default Vendor Landing Seite
Registration Form,Registrierungsformular
Fieldsets,Feldsets
Skip confirmation email,Skip Bestätigungs-E-Mail
New Vendor Confirmation Email Template,Neue Lieferanten-Bestätigungs-E-Mail-Vorlage
New Vendor Reject Email Template,Neue Vendor E-Mail-Vorlage abgeben
Comments,Kommentare
Yes Agree,Ja zustimmen
Drop Shipping Vendors,Drop Shipping Vendors
Magento SKU,Magento SKU
Magento Price,Magento Preis
Invalid parameters.,Ungültige Parameter.
The vendors have been updated successfully.,Die Anbieter wurden erfolgreich aktualisiert.
No changes were neccessary.,Es waren keine Änderungen erforderlich.
The vendors stock has been checked successfully.,Der Lieferant wurde erfolgreich geprüft.
Available,Verfügbar
To be published,Veröffentlicht werden
Reprinting in progress,Nachdruck läuft im Gange
Currently unavailable,momentan nicht verfügbar
Change of distributor in progress,Änderung des Verteilers im Gange
Sold out,Ausverkauft
Unavailable until further notice,Bis auf weiteres nicht verfügbar
To be republished,Wieder veröffentlicht werden
Total Quantity Method,Gesamtmenge Methode
Hide out of stock vendors,Verstecken von Lagerverkäufern
Default status for product multivendor data,Standardstatus für Produkt-Multivendor-Daten
"Invalid data: vendor_id=%s, product_id=%s","Ungültige Daten: vendor_id =%s, product_id =%s"
Failed to update vendor stock: vendor is not associated with this item (%s),Fehler beim Aktualisieren des Lieferantenbestandes: Verkäufer ist nicht mit diesem Artikel verknüpft (%s)
"Only ""%s"" of this product in stock.","Nur ""%s"" dieses Produktes auf Lager."
This product is not available in the requested quantity. %s of the items will be backordered.,Dieses Produkt ist in der gewünschten Menge nicht verfügbar. %S der Artikel werden nachbestellt.
This product is not available for your country.,Dieses Produkt ist für Ihr Land nicht verfügbar.
"%s"" is not available for your country.","%S ""ist für Ihr Land nicht verfügbar."
This product is not available for your location.,Dieses Produkt ist nicht für Ihren Standort verfügbar.
This product is not available for your zipcode.,Dieses Produkt ist für Ihre Postleitzahl nicht verfügbar.
