Download Labels,Scarica Etichette
Leave empty to disable automatic funding of the account,Lasciare vuoto per disabilitare il finanziamento automatico del conto
Recredit Amount,Importo riaccreditare
UPS Settings,Impostazioni UPS
UPS API URL,URL API UPS
UPS Shipper Number,UPS mittente Numero
3rd Party Country,Terzo partito del paese
3rd Party Postal Code,3rd Party CAP
Verbal Confirmation,conferma verbale
Pickup Type,Tipo pickup
Container Type,Tipo contenitore
Destination Type,Tipo di destinazione
* Select category,* Seleziona categoria
Marked as shipped,Contrassegnato come spedito
Unknown,Sconosciuto
Error connecting to API: %s,Errore di connessione al API:%s
Tracking ID %s was picked up from %s,Monitoraggio ID%s è stato preso da%s
Tracking ID %s was delivered to customer,Monitoraggio ID%s è stato consegnato al cliente
Shipment has been complete,La spedizione è stata completa
PO #%s [%s],PO #%s [%s]
%s (qty: x%s) [status: %s],%S (qty: x%s) [Stato:%s]
%s (qty: %s),%s (qty:%s)
Vendor SKU:,Venditore SKU:
Commission Percent,Percentuale Commissione
Transaction Fee,Costo della transazione
Commission Amount,Importo Commissione
Tax Amount,Ammontare della tassa
Cost,Costo
Row Cost,Costo Row
Row Total,Riga totale
"Invalid stock availability method callback: %s, %s","Non valido disponibilità di magazzino metodo di callback:%s,%s"
Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s]),Tariffe raggruppati Calcolo: vincolo qty non riuscito per l'oggetto (%s [SKU:%s])
Selected required options are not available.,opzioni richieste indicate non sono disponibili.
Required options are not selected.,Opzioni richieste non sono selezionati.
Unirgy Vendor-Product Associations Indexer,Unirgy Associazioni Vendor-prodotto indicizzatore
Error parsing confirmation response,Errore risposta conferma l'analisi
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","Impossibile eliminare fornitore locale. Per favore cambia ""/ Venditore Opzioni di configurazione / trasporto di goccia / fornitore locale"" prima"
Order status changed after POs generated,Stato dell'ordine cambiato dopo OP generati
ORDER WAS CANCELED: shipment status was changed to %s,Ordine è stato annullato: stato della spedizione è stato cambiato a%s
Page %s of %s,Pagina {0}%1$s{/0} di {0}%2$s{/0}
Packingslip # ,Packingslip # 
Qty,Quantità
Products,Prodotti
Order # ,Ordine # 
Purchase Order # ,*Purchase Order #* N. ordine di acquisto 
Order Date: ,Date dell'Ordine: 
Purchase Order Date: ,Ordine di acquisto Data: 
SOLD TO:,VENDUTO A:
SHIP TO:,SPEDIRE A:
Payment Method:,Metodo di pagamento :
Payment Method,Metodo di pagamento
Shipping Method:,Metodo di spedizione:
Total Shipping Charges,Totale spese di spedizione
Carrier,Vettore
Number,Numero
N/A,N/D
No orders found for this period.,Nessun ordine trovato per questo periodo.
%s for %s - Page %s of %s,%S per%s - Pagina%s di%s
Statement #,Dichiarazione
Statement Date,dichiarazione Data
Date,Data
Order#,Ordine:
Product,Prodotto
Comm (%)/Trans,Comm (%) / Trans
Net Amount,IMPORTO NETTO
Adjustment#,(Regolazione)
Type,Tipo
Payout,Vincite
Due,Dovuto
Comm (%),Comm (%)
Total Product Revenue,Ricavi totali del prodotto
Total Tax,totale IVA
Total Tax (non-payable),Totale IVA (non a pagamento)
Total Shipping,spedizione totale
Total Shipping (non-payable),Trasporto totale (non a pagamento)
Total Discount,Sconto totale
Total Discount (non-payable),Sconto totale (non a pagamento)
Total Handling,Manipolazione totale
Total Commission,PROVVIGIONE TOTALE
Total Transaction Fees,Spese di transazione totali
Total Adjustments,Totale rettifiche
Total Refunds,I rimborsi totali
Page %s,Pagine:
Adjust,regola
Statement Totals,Totali Dichiarazione
Handling,#NAME?
Comm,Comm
Trans,TRAS
Refund,Rimborso
Payment,Pagamento
Commission,Commissioni
Trans.Fee,Trans.Fee
Image file was not found: %s,file immagine non è stata trovata:%s
Use config,Usa config
Disable,disattivare
When Tracking ID is added,Quando si aggiunge ID di monitoraggio
When Vendor Shipment is complete,Quando Venditore spedizione è completa
When Order is completely shipped,Quando l'ordine è completamente spedito
Fail estimate and show the error,Fail stima e mostrare l'errore
Skip failed carrier call and show prices without,Salta chiamata vettore fallito e mostra prezzi senza
* Do not change,* Non cambiare
Pending,In attesa
Exported,esportato
Acknowledged,Riconosciuto
Backorder,Ordine arretrato
On Hold,In attesa
Ready to Ship,Pronto a spedire
Pending Pickup,In attesa Pickup
Label(s) printed,Label (s) stampata
Shipped,Spedito
Delivered,Ricevute
Canceled,Annullato
Returned,Ritornato
* Default (global setting),* Default (impostazione globale)
* Use Vendor Email,* L'utilizzo del fornitore e-mail
When all items are shipped,Quando tutti gli oggetti sono spediti
At least one item shipped,Almeno un oggetto spedito
* Magento Bundled Fonts,* Magento bundle Fonts
Times New Roman,Times New Roman
Helvetica,Helvetica
Courier,Corriere
Sum of order vendors estimates,Somma di fornitori di ordine stima
Maximum of order vendors estimates,Massimo di fornitori di ordine stima
* Automatic,Automatiche
Sendmail,Invia email...
Active,Attivo
Inactive,Disattivato
Disabled,Disabilitato
Rejected,Rifiutato
Pending Membership,In attesa di appartenenza
Suspended Membership,L'adesione sospeso
Canceled Membership,L'adesione annullato
Expired Membership,L'adesione scaduto
* No notification,* Nessuna notifica
* Email notification,notifica per email
Invoice,Fattura
Include,"Sono, in particolare, richieste le seguenti informazioni:"
Exclude but Show,Escludere ma Mostra
Exclude and Hide,Escludere e nascondere
* Local database,* Database locale
Always in stock,Sempre in magazzino
Use system configured handling fee only,Utilizzare solo sistema di diritti di trattamento configurato
Use vendor configured handling fee only,Utilizzare solo vendor commissione di gestione configurato
Add vendor handling fee to the system handling fee,Aggiungere commissione di gestione fornitore per la commissione di gestione del sistema
* Disable tracking API polling,* API polling Disabilita monitoraggio
* Use label carrier API if available,* API Uso vettore etichetta se disponibile
No label printing,No stampa di etichette
PDF,PDF 
EPL,EPL
ZPL,ZPL
4X6,Fuoristrada
Next Day Air Early AM,Next Day Air Presto AM
Next Day Air Early AM Letter,Lettera Next Day Air Presto AM
Next Day Air,Next Day Air
Next Day Air Letter,Lettera Air Next Day
Next Day Air Intra (Puerto Rico),Next Day Air Intra (Porto Rico)
Next Day Air Saver,Next Day Air Saver
Next Day Air Saver Letter,Lettera Next Day Air Saver
2nd Day Air AM,2 ° giorno Air AM
2nd Day Air AM Letter,Lettera 2nd Day Air AM
2nd Day Air,2 ° giorno Air
2nd Day Air Letter,2 ° Giorno Lettera Air
3 Day Select,3 giorni Selezionare
Ground,Terrestri
Ground Commercial,terra commerciale
Ground Residential,terreno residenziale
Canada Standard,Canada standard
Worldwide Express,Worldwide Express
Worldwide Express Saver,Worldwide Express Saver
Worldwide Express Letter,Lettera Worldwide Express
Worldwide Express Plus,Worldwide Express Plus
Worldwide Express Plus Letter,Lettera Inoltre Express Worldwide
Worldwide Expedited,In tutto il mondo ha accellerato
UPS Next Day Air,UPS Next Day Air
UPS Second Day Air,UPS Secondo Giorno Air
UPS Ground,UPS Ground
UPS Worldwide Express,UPS Worldwide Express
UPS Worldwide Expedited,UPS Worldwide Expedited
UPS Standard,UPS standard
UPS Three-Day Select,UPS di tre giorni Select
UPS Next Day Air Saver,UPS Next Day Air Saver
UPS Next Day Air Early A.M.,UPS Next Day Air Presto AM
UPS Worldwide Express Plus,UPS Worldwide Express Plus
UPS Second Day Air A.M.,UPS Secondo Giorno Air AM
UPS Saver,UPS Saver
UPS Today Standard,UPS Oggi standard
UPS Today Dedicated Courrier,UPS Oggi Dedicato Courrier
UPS Today Intercity,UPS Oggi Intercity
UPS Today Express,UPS Oggi espresso
UPS Today Express Saver,UPS Express Saver Oggi
Sender,Mittente
Third Party,Terze parti
Regular Pickup,Pickup regolare
Request Courier,richiesta Courier
Drop Box,Drop Box
Business Service Center,Centro Business Servizio
Station,Station
PDF: Paper 4x6,PDF: 4x6 di carta
PDF: Paper 4x8,PDF: 4x8 di carta
PDF: Paper 4x9,PDF: 4x9 di carta
PDF: Paper 7x4.75,PDF: 7x4.75 Paper
PDF: Paper 8.5x11 Bottom Half Label,8.5x11 carta Parte bassa Etichetta: PDF
PDF: Paper 8.5x11 Top Half Label,PDF: 8.5x11 Paper metà superiore Label
EPL: Stock 4x6,EPL: Archivio 4x6
EPL: Stock 4x6.75 Leading Doc Tab,EPL: Archivio 4x6.75 Leading Tab doc
EPL: Stock 4x6.75 Trailing Doc Tab,EPL: Archivio 4x6.75 Trailing doc Tab
EPL: Stock 4x8,EPL: Archivio 4x8
EPL: Stock 4x9 Leading Doc Tab,EPL: Archivio 4x9 Leading Tab doc
EPL: Stock 4x9 Trailing Doc Tab,EPL: Archivio 4x9 Trailing Tab doc
All,Tutto
Limit by order shipping method,Limite dal metodo di spedizione ordine
Shipment,[00:01:45] la spedizione.
Purchase Order,*Purchase Order #* N. ordine di acquisto
Available for Shipping Date,Disponibile per l'invio Data
Delivery Method,metodo di consegna
Shipping Status,Stato della spedizione
Ascending,Crescente
Descending,Decrescente
Fixed,Fisso
Percent of shipping amount,Percentuale di importo di spedizione
Percent of vendor subtotal,Percentuale di vendor subtotale
No action,No action
Enable / Disable vendor products,Abilita / Disabilita prodotti di vendor
* Default System Rules,* regole di sistema predefinito
Simple Custom Rules,Regole semplici personalizzate
Advanced Custom Rules,Regole personalizzate avanzate
Total Price,Totale Costo
Total Cost,Costo totale
Line Number,Numero riga
Weight,Peso
Vendor Package,venditore Package
Row Separate Rate,Row Vota separato
Item Separate Rate,Articolo Tasso separato
Assign to local vendor and leave vendor products enabled,Assegnare al rivenditore locale e lasciano prodotti di fornitori abilitati
Assign to local vendor and disable vendor products,Assegnare al rivenditore locale e prodotti di vendor disabilitare
Delete vendor products,Eliminare i prodotti vendor
* All Countries,* Tutti i paesi
Invalid request for source options: ,richiesta non valida per le opzioni di origine: 
This item is not available for your location.,Questo articolo non è disponibile per la vostra posizione.
This item is not available for your country.,Questo articolo non è disponibile per il vostro paese.
This item is not available for your zipcode.,Questo articolo non è disponibile per il vostro codice postale.
This product is currently out of stock.,Questo prodotto è attualmente esaurito.
Some items are not available for your location.,Alcune voci non sono disponibili per la vostra posizione.
Some items are not available for your country.,Alcune voci non sono disponibili per il Paese.
Some items are not available for your zipcode.,Alcune voci non sono disponibili per il codice postale.
Some of the products are currently out of stock,Alcuni dei prodotti sono attualmente esaurito
Undefined product type.,Non definito tipo di prodotto.
Internal adjustment to sync payout with statement total due,Regolazione interna per la sincronizzazione dei pagamenti con la dichiarazione dovuta totale
This account is not confirmed.,Questo account non è confermato.
Invalid stock check callback: %s,Non valido magazzino di controllo di richiamata:%s
This URL Key is already used for different vendor (%s). Please choose another.,"Questa chiave URL è già utilizzata per diversi vendor (%s). Per favore, scegline un altro."
This URL Key is reserved. Please choose another.,"Questa chiave URL è riservato. Per favore, scegline un altro."
A vendor with supplied email already exists.,Un venditore con e-mail fornito esiste già.
A vendor with supplied email and password already exists.,Un venditore con e-mail fornito e la password già esiste.
A vendor with supplied name already exists.,Un venditore con il nome fornito esiste già.
Location,Posizione
Error,Errore 
Updated At,aggiornati alle
Sku,Sku
Stock Qty,disponibilità Quantità
Stock Qty Add,Disponibilità Quantità Aggiungi
Vendor Sku,venditore Sku
Item SKU,articolo SKU
Batch Info,Info Batch
Use Template,Usa modello
Batch notes,note batch
Export to vendor's default locations,Esporta in posizioni predefinite del venditore
Default locations,posizioni predefinite
Export and download file,Esporta file e scaricare
Download file,Scarica il file
Download file name,Nome Scarica il documento
"If empty, will be autogenerated","Se vuoto, verrà generato automaticamente"
Export to custom locations,Esporta in percorsi personalizzati
Custom locations,percorsi personalizzati
"Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference"">reference</a> for location format, separate multiple locations with new line","Utilizzare <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference""> riferimento </a> per il formato posizione, posizioni multiple separate con nuova linea"
Number of Rows,Numero di righe
Content,Soddisfare
Stock Status,Disponibilità
Special From,speciale Da
Special To,Per Special
Tracking ID,Numero Pratica: 100159634403
Has error,ha errore
Error Info,Info Errore
Import from vendor's default locations,Importa da posizioni predefinite del fornitore
Import from uploaded file,Importa da file caricato
Upload file,Carica file
Import from pasted content,Importa da contenuto incollato
Paste content,incolla dei contenuti
Import from custom locations,Importa da percorsi personalizzati
Manage Batches,gestire lotti
Batch Information,Informazioni Batch
Data Rows,Le righe di dati
Export Orders,ordini di esportazione
Import Orders,Importa ordini
Export Stock PO,Export della PO
Import Stock PO,Importazione della PO
Import Inventory,Import inventario
Delete Batch,Elimina batch
Create Batch(es),Create Batch (es)
Batch Type,Tipo Batch
Batch Status,Batch Stato
# of Rows,# Di file
Scheduled At,In programma al
Vendor PO Import/Export Batches,Venditore PO Lotti Import / Export
Create Stock PO Export Batch,Creare po Stock Export Batch
Create Stock PO Import Batch,Creare po Stock Import Batch
Create Order Export Batch,Creare ordine di esportazione in batch
Create Tracking Import Batch,Creare monitoraggio Import Batch
Create Inventory Import Batch,Creare inventario Import Batch
Location ID,Location ID
Batch ID,ID Batch
Batch Created At,Batch Creato il
Hist Updated At,Hist aggiornati alle
Retry,Riprova
Vendor PO Import/Export History,Venditore PO Importa / Esporta cronologia
* All Vendors *,* tutti i fornitori *
Batch was successfully saved,Batch è stato salvato con successo
Batch was successfully deleted,Batch stato eliminato con successo
Please select batch(es),Si prega di selezionare batch (es)
There was an error while updating batch(es) status,Si è verificato un errore durante l'aggiornamento di stato batch (es)
There was an error while updating history(ies) status,Si è verificato un errore durante l'aggiornamento di stato della storia (i)
Total of %d record(s) were retried,Totale del disco%d (s) sono stati ritentato
There was an error while retrying distribution: ,Si è verificato un errore durante la distribuzione di un nuovo tentativo: 
Processed %s import rows,%Elaborato s file di importazione
Empty input,ingresso vuota
Empty delimiter,separatore vuoto
Empty enclosure,custodia vuota
Empty fields,I campi vuoti
"Required ""%s"" (or ""%s"") field is not specified","campo (o ""%s"") richiesta ""%s"" non è specificato"
"Required ""%s"" field is not specified","Richiesto ""%s"" campo non è specificato"
"%s"" field is not allowed. will be ignored.","%S"" campo non è permesso. Verrà ignorato."
Invalid rows: %s,file non validi:%s
Empty rows: %s,righe vuote:%s
Missing required field in rows: %s,Campo obbligatorio mancante nel file:%s
Duplicate sku within file in rows: %s,Duplicare sku all'interno di file in file:%s
Product not found for sku in rows: %s,Prodotto non trovato per sku in file:%s
Products not associated with vendor in rows: %s,I prodotti non connessi con il fornitore in righe:%s
Batch Import/Export,Batch Import / Export
Batches,lotti
Action History,Storia d'azione
Orders Batch Options,Ordini Opzioni batch
Default Email Sender,Predefinito Email Sender
Default Email Subject,Predefinito Email Soggetto
Default Export Orders Filename,Predefinito di esportazione Ordini Nome file
Export On Po Statuses,All'esportazione di Po Statuses
Save inventory import data in batch,Salvare i dati di importazione di inventario in lotti
Allow import new vendor/product association with inventory import,Consentire l'importazione nuova associazione fornitore / prodotto con l'importazione di inventario
This option applicable to multivendor add-on,Questa opzione applicabile ai multivendor add-on
If import by vendor sku and it maps to multiple products,Se l'importazione dal fornitore SKU e le mappe a più prodotti
Replace new line with custom char in fields during export,Sostituire nuova linea con carattere personalizzato in campi durante l'esportazione
This supports only fields with simple format [var.name] (Magento CMS templating conventions {{var var.name}} not supported),Questo supporta solo i campi con formato semplice [var.name] (Magento CMS convenzioni di template {{var var.name}} non supportato)
Custom char to replace new line in fields during export,Personalizzato char per sostituire nuova linea nei campi durante l'esportazione
Custom templates for manual import,I modelli personalizzati per l'importazione manuale
Custom templates for manual export,I modelli personalizzati per l'esportazione manuale
Statement Export Template,Dichiarazione Esporta modello
Invalid vendor,fornitore non valido
"Please select ""Use Template","Seleziona ""Usa modello"
"Errors during importing, please see individual batches for details","Errori durante l'importazione, vedere lotti individuali per i dettagli"
Invalid batch type,tipo discontinuo valido
Empty Export Template,Template Export vuota
Empty Item Export Template,Vuoto Articolo Esporta modello
From:,Da:
To:,A:
Message:,Messaggio:
Invalid row format,formato di riga valido
Missing required field: sku or vendor_sku,Campo obbligatorio mancante: SKU o vendor_sku
Missing required field: sku,Campo obbligatorio mancante: SKU
Duplicate sku within file,Duplicare SKU all'interno del file
Duplicate vendor sku within file,SKU fornitore duplicati all'interno del file
Neither sku or vendor_sku specified,Né SKU o vendor_sku specificati
Product not found for ,Prodotto non trovato per 
"Vendor sku ""%s"" maps to multiple products (ids: ""%s"")","Venditore SKU ""%s"" mappe di più prodotti (IDS: ""%s"")"
Product with ,prodotto con 
Missing required field,Campo obbligatorio mancante
Duplicate tracking_id within file,Duplicare tracking_id all'interno del file
Invalid Order or PO ID,Ordine non valido o PO ID
Duplicate tracking_id,Duplicate tracking_id
Invalid model for %s (%s),il modello non valido per%s (%s)
Added new vendor/product association,Aggiunto nuovo / associazione del prodotto vendor
Unsupported destination '%s,destinazione non supportato '%s
Could not write to file '%s,Impossibile scrivere sul file '%s
Tracking ID %s was added,Monitoraggio ID%s è stato aggiunto
Could not read from file '%s,Impossibile leggere dal file '%s
Invalid local destination '%s,Non valido destinazione locale '%s
Import/Export Batches,Import / Export Lotti
Export Stock POs,Export archivio OP
Import Stock POs,Importa archivio OP
No Action,No action
Rename,Rinominare
Move,Mossa
Rename+Move,Rinomina + Sposta
Realtime,Tempo reale
Full,Ricarica completata
Manual,Manuale
Scheduled,Orario 
Missed,Perse
Processing,In Lavorazione
Exporting,Esportazione...
Importing,Importazione ...
Empty,Vuoto
Success,Successo
Partial,Parziale
New,Nuovo
* No export,* Nessuna esportazione
Manual only,Solo manuale
Auto Scheduled,Auto programmata
Instant,Amore a prima vista!
Instant by status,Istantaneo per stato
* No import,* No import
Vendor's Default locations,Percorsi di default del fornitore
* Use vendor default,* Impostazione Usa fornitore
Yes (manual only),Sì (solo manuale)
Yes (manual and scheduled),Sì (manuale e programmata)
Update only first product,Aggiornare solo primo prodotto
Update all products,Aggiornare tutti i prodotti
Skip and report error,Skip e l'errore riferire
Dropship Vendor,dropship Venditore
Registration ID,ID registrazione
Manage Registrations,gestire le registrazioni
Grid,Griglia
List,Elenco
Home,Casa
Go to Home Page,Vai alla pagina principale
Vendor Registrations,Le iscrizioni vendor
Please select registration(s),Si prega di selezionare la registrazione (s)
Thank you for application. Instructions were sent to your email to confirm it,Grazie per l'applicazione. Istruzioni sono state inviate al tuo indirizzo email per confermarlo
"Thank you for application. As soon as your registration has been verified, you will receive an email confirmation","Grazie per l'applicazione. Non appena la registrazione è stata verificata, si riceverà una mail di conferma"
Incorrect CAPTCHA.,CAPTCHA errato.
MicroSite Options,Opzioni microsito
"Enable ""System View"" menu item in vendor portal","Attiva ""System View"" voce di menu nel portale vendor"
"If enabled this option gives vendors limited access to admin area to create new products, update existing (filtered by Dropship Vendor attribute). The option may be overridden on vendor level.","Se attivata questa opzione dà fornitori un accesso limitato alla zona di admin per creare nuovi prodotti, aggiornare esistente (filtrati per attributo fornitore Dropship).L'opzione può essere ignorata a livello del fornitore."
Allow per vendor sudomain level selection,Consentire al livello di selezione del fornitore sudomain
Subdomain level to use for vendor,livello di sottodominio da utilizzare per il fornitore
Landing page title,titolo della pagina di atterraggio
Landing page Meta Keywords,pagina di destinazione Meta Keywords
Landing page Meta Description,pagina di destinazione Meta Description
Use this vendor as a template for new registrations,Utilizzare questo vendor come modello per le nuove immatricolazioni
Update Store Base URL,URL di aggiornamento Conservare Base
Automatically approve vendor applications,Approva automaticamente applicazioni vendor
Registration Confirmation Email Template,Registrazione Conferma Email Template
New Vendor Welcome Email Template,Nuovo fornitore di benvenuto Email Template
Carriers to allow during vendor registration,I vettori per consentire durante la registrazione vendor
New Registrations Receiver(s),Nuovo ricevitore iscrizioni (s)
New Registrations Email Subject,Nuove registrazioni Email Soggetto
New Registrations Template,Nuovo modello iscrizioni
Staging Website,Staging Sito
Product attributes to HIDE from vendors,Caratteristiche del prodotto per nascondersi dai fornitori
Show all vendor products on frontend (including multivendor associations),Mostra tutti i prodotti vendor sul frontend (comprese le associazioni multivendor)
Enable filter vendor categories on frontend,Abilita categorie filtro vendor su frontend
Stick microsite products in cart,Stick prodotti microsito nel carrello
"Products that added to cart from vendor microsite will be stuck to that vendor regardless of decision method <br> ""Yes and display vendor"" - will display vendor name as item custom option ","I prodotti che hanno aggiunto al carrello da fornitore microsito saranno bloccati a tale fornitore indipendentemente dal metodo di decisione <br> ""Sì e visualizzazione vendor"" - verrà visualizzato il nome del venditore dell'opzione elemento personalizzato come "
Joined field with this alias is already declared,campo collegato con questo alias è già dichiarata
"Invalid alias, already exists in joined attributes","alias valido, esiste già negli attributi unita"
"Invalid alias, already exists in joint attributes.","alias non valido, esiste già negli attributi comuni."
"%s"" action is not allowed","""L'azione%s non è consentita"
Incomplete form data,Dati forma incompleta
Passwords do not match,Le password non combaciano
"This subdomain is already taken, please choose another.","Questo sottodominio è già preso, si prega di scegliere un'altra."
From URL Path (domain.com/vendor),Dal sentiero URL (domain.com/vendor)
2nd level subdomain (vendor.com),2 ° livello sottodominio (vendor.com)
3rd level subdomain (vendor.domain.com),3 ° livello sottodominio (vendor.domain.com)
4th level subdomain (vendor.subdomain.domain.com),4 ° livello sottodominio (vendor.subdomain.domain.com)
5th level subdomain (vendor.subdomain2.subdomain1.domain.com),5 ° livello sottodominio (vendor.subdomain2.subdomain1.domain.com)
* Use Config,* Utilizzare Config
Yes and activate,Sì e attivare
Yes and display vendor,Sì e la visualizzazione del fornitore
Yes (only when in stock),Sì (solo se in azione)
Yes (only when in stock) and display vendor,Sì (solo se in azione) e la visualizzazione del fornitore
Enable Selected,Abilita selezionati
Disable Selected,disabilitare selezionati
* None,Nessuno
* Use config,* Utilizzare config
Invalid base url type,di base non valido tipo di URL
Bad request.,Bad request.
Wrong confirmation key.,tasto di conferma sbagliata.
Failed to confirm vendor account.,Impossibile per confermare conto fornitore.
Wrong vendor account specified.,conto fornitore sbagliato specificato.
Vendor Registration,venditore registrazione
Default Vendor Landing Page,Fornitore predefinita della pagina di destinazione
Registration Form,Modulo di registrazione
Fieldsets,fieldsets
Skip confirmation email,Skip-mail di conferma
New Vendor Confirmation Email Template,Nuovo fornitore email di conferma Template
New Vendor Reject Email Template,Nuovo fornitore Reject Email Template
Comments,Commenti
Yes Agree,"Si, daccordo"
Drop Shipping Vendors,I venditori Drop Shipping
Magento SKU,Magento SKU
Magento Price,Magento Prezzo
Invalid parameters.,Parametri non validi
The vendors have been updated successfully.,I venditori sono stati aggiornati con successo.
No changes were neccessary.,Nessuna modifica erano necessario.
The vendors stock has been checked successfully.,Lo stock fornitori è stato controllato con successo.
Available,Disponibile
To be published,Da pubblicare
Reprinting in progress,La ristampa in corso
Currently unavailable,attualmente non disponibile
Change of distributor in progress,Cambio di distributore in corso
Sold out,Esaurito
Unavailable until further notice,Non disponibile fino a nuovo avviso
To be republished,Per essere ripubblicato
Total Quantity Method,Totale Metodo Quantità
Hide out of stock vendors,Hide di fornitori azionari
Default status for product multivendor data,stato di default per i dati prodotti multivendor
"Invalid data: vendor_id=%s, product_id=%s","dati non validi: vendor_id =%s, product_id =%s"
Failed to update vendor stock: vendor is not associated with this item (%s),Impossibile aggiornare vendor magazzino: fornitore non è associato a questa voce (%s)
"Only ""%s"" of this product in stock.","Solo ""%s"" di questo prodotto in magazzino."
This product is not available in the requested quantity. %s of the items will be backordered.,Questo prodotto non è disponibile nella quantità richiesta. %S degli elementi verrà arretrato.
This product is not available for your country.,Questo prodotto non è disponibile per il vostro paese.
"%s"" is not available for your country.","%S"" non è disponibile per il vostro paese."
This product is not available for your location.,Questo prodotto non è disponibile per la vostra posizione.
This product is not available for your zipcode.,Questo prodotto non è disponibile per il vostro codice postale.
"%s"" is not available for your location.","%S"" non è disponibile per la vostra posizione."
"%s"" is not available for your zipcode.","%S"" non è disponibile per il vostro codice postale."
The minimum quantity allowed for purchase is %s.,Il quantitativo minimo consentito per l'acquisto è%s.
"The minimum quantity allowed for purchase for ""%s"" is %s.","Il quantitativo minimo consentito per l'acquisto per ""%s"" è%s."
The maximum quantity allowed for purchase is %s.,La quantità massima consentita per l'acquisto è%s.
"The maximum quantity allowed for purchase for ""%s"" is %s.","La quantità massima consentita per l'acquisto per ""%s"" è%s."
"%s"" is currently out of stock.","%S"" è attualmente esaurito."
"Only ""%s"" of ""%s"" in stock.","Solo ""%s"" di ""%s"" in azione."
"%s"" is not available in the requested quantity. %s of the items will be backordered.","%S"" non è disponibile nella quantità richiesta.%S degli elementi verrà arretrato."
Some of the products cannot be ordered in requested quantity.,Alcuni dei prodotti che non possono essere ordinati in quantità richiesta.
Stock configuration problem,problema di configurazione della
Not all products are available in the requested quantity,Non tutti i prodotti sono disponibili nella quantità richiesta
Allow Backorder by Availability State/Date,Consentire arretrato per Disponibilità Stato / Data
Track Reserved Qty,Traccia Quantità riservati
Use Avail State/Date to Allow Qty Below 0,Utilizzare Disp Stato / data per permettere Quantità Sotto 0
Use Avail State/Date to Allow Qty Below 0 and Notify Customer,Utilizzare Disp Stato / data per permettere Quantità Sotto 0 e notifica dei clienti
Used,Utilizzato
Used: As new,Usato: Come nuovo
Used: Very Good,Used: Very Good
Used: Good,Used: Good
Used: Just OK,Usato: Just OK
A product type is not defined for the indexer.,Un tipo di prodotto non è definito per l'indicizzatore.
Po ID,Po ID
Payout Info,Info payout
Method Specific Details,Metodo Dettagli Specifici
Payout Additional Details,Payout Dettagli aggiuntivi
Paypal Correlation ID,Paypal ID di correlazione
Payment Paid,pagamento pagato
Payment Due,Pagamento dovuto
Messages,messaggi
Manage Payouts,gestire Pagamenti
Payout Information,Informazioni payout
Delete Payout,Eliminare Payout
Create Payout(s),Creare Payout (s)
Sender Transaction ID,Sender ID transazione
Pay,pagare
Vendor Payouts,Pagamenti fornitori
Generate Payouts,genera Pagamenti
Payout was successfully paid,Payout è stato pagato con successo
Payout '%s' no longer exists,Payout '%s' non esiste più
Payout was successfully saved,Payout è stato salvato con successo
Payout was successfully deleted,Payout è stata eliminata con successo
Please select payout(s),Si prega di selezionare payout (s)
%s of %d record(s) were successfully deleted,%s di record di%d (s) sono stati cancellati con successo
%s of %d record(s) were successfully updated,%s di record di%d (s) sono stati aggiornati con successo
There was an error while updating payout(s) status,Si è verificato un errore durante l'aggiornamento di stato payout (s)
%s of %s payouts  were successfully paid,%S di%s pagamenti sono stati pagati con successo
There was an error during payout(s) mass pay,C'è stato un errore durante il payout (s) pagamento cumulativo
Paypal,Paypal
Check,Controlla
Bank Transfer,Trasferimento bancario
Offline,Offline
Payout Options,opzioni di pagamento
Predefined Payout Schedules,Orari payout predefiniti
Payout Paypal Options,Opzioni Paypal Payout
Use IPN to complete payout,Usare IPN per completare payout
Account Email,Account di posta elettronica
Password,parola d'ordine
Signature,Firma
Please select vendors,Si prega di selezionare fornitori
This payout already paid,Questo payout già pagato
This payout is canceled,Questa vincita viene annullata
This payout wait paypal IPN,Questa vincita attesa paypal IPN
"Payout ""total due"" must be positive","Payout ""totale dovuto"" deve essere positivo"
Empty payout method,metodo di pagamento vuota
Unknown payout method: '%s,metodo di pagamento sconosciuto: '%s
Can't find payout method class,Impossibile trovare il metodo di pagamento di classe
Successfully send payment. Waiting for IPN to complete.,inviare correttamente il pagamento. In attesa di IPN per completare.
Successfully paid,pagato con successo
* No Payout,* No Payout
Auto,Automatica
Use Statement preferences,Utilizzare le preferenze Dichiarazione
Custom,Personalizzato
Hold,In attesa
Waiting for Paypal IPN,In attesa di Paypal IPN
* Use Custom,* Use Custom
There was error during payment finalization.,C'era errore durante il pagamento finalizzazione.
Paypal Adaptive,Paypal Adaptive
Application ID,ID applicazione
Adaptive Payments,Pagamenti Adaptive
"Accept credit cards and PayPal payments securely and send chained payments to multiple recipients (vendors), one after the other. Each recipient can take a cut of the payment (vendor payout).","Accetta carte di credito e pagamenti PayPal in modo sicuro e inviare pagamenti concatenati a più destinatari (fornitori), una dopo l'altra. Ogni destinatario può prendere un taglio del pagamento (payout del fornitore)."
