Download Labels,Télécharger étiquettes
Electronic Return Receipt,Accusé de réception électronique de retour
Insured Mail,assuré courrier
Restricted Delivery,Livraison restreinte
COD,cabillaud
Balance Threshold,Seuil d'équilibre
Leave empty to disable automatic funding of the account,Laissez vide pour désactiver le financement automatique du compte
Recredit Amount,Montant recredit
UPS Settings,Réglages UPS
UPS API URL,URL de l'API UPS
UPS Shipper Number,UPS Numéro Expéditeur
3rd Party Country,3rd Party Pays
3rd Party Postal Code,3rd Party Code postal
Verbal Confirmation,Confirmation verbale
Pickup Type,Type de ramassage
Container Type,Type de conteneur
Destination Type,Type de destination
* Select category,- Choisir une catégorie -
Marked as shipped,Marqué comme livré
Unknown,Inconnue
Error connecting to API: %s,Erreur de connexion API:%s
Tracking ID %s was picked up from %s,Numéro de suivi%s a été pris de%s
Tracking ID %s was delivered to customer,Numéro de suivi%s a été livré au client
Shipment has been complete,L'envoi a été complet
PO #%s [%s],Poss:. 31
%s (qty: x%s) [status: %s],%s (qté: x%s) [statut:%s]
%s (qty: %s),%s (qté:%s)
Vendor SKU:,Fournisseur SKU:
Commission Percent,Commission Pourcentage
Transaction Fee,Frais de transaction
Commission Amount,Montant Commission
Tax Amount,Montant de la taxe
Cost,Coût
Row Cost,Coût de ligne
Row Total,Total de lignes
"Invalid stock availability method callback: %s, %s","méthode la disponibilité du stock non valide rappel:%s,%s"
Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s]),Groupés Tarifs Calcul: contrainte qté a échoué pour l'article (%s [SKU:%s])
Selected required options are not available.,Certaines options requises ne sont pas disponibles.
Required options are not selected.,Les options nécessaires ne sont pas sélectionnés.
Unirgy Vendor-Product Associations Indexer,Unirgy Associations fournisseur-produit indexeur
Error parsing confirmation response,Erreur de réponse de confirmation de l'analyse syntaxique
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","Impossible de supprimer le fournisseur local. S'il vous plaît changer ""Configuration / Drop Shipping / Options / fournisseur fournisseur local"" avant"
Order status changed after POs generated,état de la commande a changé après OREN généré
ORDER WAS CANCELED: shipment status was changed to %s,COMMANDE A ÉTÉ ANNULÉ: état de l'expédition a été changé à%s
Page %s of %s,Page {0}%1$s{/0} de {0}%2$s{/0}
Packingslip # ,Packingslip # 
Qty,Quantité
Products,Produits
Order # ,Commande # 
Purchase Order # ,Bon de Commande # 
Order Date: ,Date de commande : 
Purchase Order Date: ,Date du Bon de commande 
SOLD TO:,Client
SHIP TO:,Envoyer à :
Payment Method:,Mode de paiement :
Payment Method,Mode de paiement
Shipping Method:,Moyen de Livraison
Total Shipping Charges,Total des frais d'expédition
Carrier,Transporteur
Number,Nombre
N/A,Aucun 
No orders found for this period.,Aucune commande pour cette période.
%s for %s - Page %s of %s,%s pour%s - Page%s de%s
Statement #,Relevé
Statement Date,date du relevé
Date,date
Order#,Commande#
Product,Produit 
Comm (%)/Trans,Comm (%) / Trans
Net Amount,Montant net
Adjustment#,Réglage
Type,Type 
Payout,Payout
Due,Dû
Comm (%),Comm100
Total Product Revenue,Le total des revenus de produits
Total Tax,Total de la Taxe
Total Tax (non-payable),Impôt total (non payant)
Total Shipping,Expédition totale
Total Shipping (non-payable),D'envoi (non payant)
Total Discount,Remise totale
Total Discount (non-payable),Remise totale (non payant)
Total Handling,Manipulation totale
Total Commission,Total des commissions
Total Transaction Fees,Total des frais de transaction
Total Adjustments,total des ajustements
Total Refunds,total des remboursements
Page %s,Pages :
Adjust,Ajuster
Statement Totals,Les totaux Déclaration
Handling,Maniabilité
Comm,Comm100
Trans,Transition
Refund,Remboursement
Payment,Paiement
Commission,Commission
Trans.Fee,Trans.Fee
Image file was not found: %s,Fichier image n'a pas été trouvé:%s
Use config,config Utilisation
Disable,Désactiver 
When Tracking ID is added,Lorsque ID de suivi est ajouté
When Vendor Shipment is complete,Lorsque l'expédition du vendeur est terminée
When Order is completely shipped,Quand l'ordre est complètement livré
Fail estimate and show the error,Échec estimation et montrer l'erreur
Skip failed carrier call and show prices without,Passer appel porte échoué et afficher les prix sans
* Do not change,* Ne changez pas
Pending,En attente
Exported,exporté
Acknowledged,Reconnu
Backorder,Commande en attente
On Hold,En attente
Ready to Ship,Prêt pour l'expédition
Pending Pickup,Dans l'attente de ramassage
Label(s) printed,Étiquette (s) imprimé
Shipped,Envoyé
Delivered,Livré
Canceled,Annulé
Returned,Retourné
* Default (global setting),* Par défaut (paramètre global)
* Use Vendor Email,* Utilisation du fournisseur Email
When all items are shipped,Lorsque tous les articles sont expédiés
At least one item shipped,Au moins un article expédié
* Magento Bundled Fonts,* Magento Bundled Fonts
Times New Roman,Times New Roman
Helvetica,Helvetica
Courier,Courrier
Sum of order vendors estimates,Somme des vendeurs de commande estime
Maximum of order vendors estimates,Maximum des vendeurs de commande estime
* Automatic,Automatique
Sendmail,Envoyer un mail
Active,Acti
Inactive,Inactif
Disabled,Désactivé
Rejected,Rejeté
Pending Membership,Inscription en attente
Suspended Membership,L'adhésion suspendue
Canceled Membership,L'adhésion annulée
Expired Membership,Membre arrivé à expiration
* No notification,* Aucune notification
* Email notification,Notification par email
Invoice,Facture
Include,Inclure
Exclude but Show,Exclure mais Afficher
Exclude and Hide,Exclure et Masquer
* Local database,* Base de données locale
Always in stock,Toujours en stock
Use system configured handling fee only,système d'utilisation des frais de traitement configuré uniquement
Use vendor configured handling fee only,Utiliser fournisseur frais de manutention configuré uniquement
Add vendor handling fee to the system handling fee,Ajouter des frais de traitement des fournisseurs aux frais de traitement du système
* Disable tracking API polling,* API Désactiver le suivi vote
* Use label carrier API if available,* Utilisez API porte-étiquette si disponible
No label printing,Pas d'impression d'étiquettes
PDF,PDF
EPL,EPL
ZPL,ZPL
4X6,X. 
Next Day Air Early AM,Next Day Air Early AM
Next Day Air Early AM Letter,Lettre Next Day Air Early AM
Next Day Air,Next Day Air
Next Day Air Letter,Next Day Air Lettre
Next Day Air Intra (Puerto Rico),Next Day Air Intra (Puerto Rico)
Next Day Air Saver,Next Day Air Saver
Next Day Air Saver Letter,Next Day Air Saver Lettre
2nd Day Air AM,2ème Journée de l'air AM
2nd Day Air AM Letter,2ème jour Lettre AM Air
2nd Day Air,2ème Journée de l'air
2nd Day Air Letter,2ème jour Lettre Air
3 Day Select,3 Sélectionner le jour
Ground,Terre
Ground Commercial,commercial terrain
Ground Residential,Résidentiel terrain
Canada Standard,Canada standard
Worldwide Express,Worldwide express
Worldwide Express Saver,Worldwide Express Saver
Worldwide Express Letter,Lettre Worldwide Express
Worldwide Express Plus,Dans le monde entier Express Plus
Worldwide Express Plus Letter,Dans le monde entier Express Plus Lettre
Worldwide Expedited,Dans le monde entier Expedited
UPS Next Day Air,UPS Next Day Air
UPS Second Day Air,UPS Deuxième Journée de l'air
UPS Ground,UPS Ground
UPS Worldwide Express,UPS Worldwide Express
UPS Worldwide Expedited,UPS Worldwide Expedited
UPS Standard,UPS standard
UPS Three-Day Select,UPS Sélectionnez trois jours
UPS Next Day Air Saver,UPS Next Day Air Saver
UPS Next Day Air Early A.M.,UPS Next Day Air Early AM
UPS Worldwide Express Plus,UPS Worldwide Express Plus
UPS Second Day Air A.M.,UPS Deuxième Journée de l'air AM
UPS Saver,UPS Saver
UPS Today Standard,UPS Standard Aujourd'hui
UPS Today Dedicated Courrier,UPS Aujourd'hui Courriers Dédié
UPS Today Intercity,UPS Aujourd'hui Intercity
UPS Today Express,UPS Aujourd'hui express
UPS Today Express Saver,UPS Express Saver Aujourd'hui
Sender,Expéditeur
Third Party,Tiers
Regular Pickup,ramassage régulier
Request Courier,demande Courier
Drop Box,Dropbox
Business Service Center,Centre de services aux entreprises
Station,Poste
PDF: Paper 4x6,PDF: Papier 4x6
PDF: Paper 4x8,PDF: Papier 4x8
PDF: Paper 4x9,PDF: Papier 4x9
PDF: Paper 7x4.75,PDF: Papier 7x4.75
PDF: Paper 8.5x11 Bottom Half Label,"PDF: Papier 8,5x11 Bas Label demi"
PDF: Paper 8.5x11 Top Half Label,"PDF: papier 8,5x11 moitié supérieure Étiquette"
EPL: Stock 4x6,EPL: Stock 4x6
EPL: Stock 4x6.75 Leading Doc Tab,EPL: 4x6.75 Stock Leading Doc Tab
EPL: Stock 4x6.75 Trailing Doc Tab,EPL: Stock 4x6.75 Trailing Doc Tab
EPL: Stock 4x8,EPL: Stock 4x8
EPL: Stock 4x9 Leading Doc Tab,EPL: 4x9 Stock Leading Doc Tab
EPL: Stock 4x9 Trailing Doc Tab,EPL: Stock 4x9 Trailing Doc Tab
All,Tout
Limit by order shipping method,Limiter par ordre méthode d'expédition
Shipment,Expédition
Purchase Order,Numéro de commande
Available for Shipping Date,Disponible pour la date d'expédition
Delivery Method,Mode de livriason
Shipping Status,Statut d'envoi
Ascending,Croissant
Descending,Décroissant
Fixed,Fixé
Percent of shipping amount,Pour cent du montant d'expédition
Percent of vendor subtotal,Pour cent du sous-total du vendeur
No action,Aucune action
Enable / Disable vendor products,Activer / Désactiver les produits des fournisseurs
* Default System Rules,* Règles système par défaut
Simple Custom Rules,Des règles simples personnalisées
Advanced Custom Rules,Règles personnalisées de pointe
Total Price,Prix ??total
Total Cost,Coût total
Line Number,Numéro de la ligne:
Weight,Poids
Vendor Package,Forfait fournisseur
Row Separate Rate,Row taux distinct
Item Separate Rate,Point taux distinct
Assign to local vendor and leave vendor products enabled,Attribuer à un fournisseur local et laisser les produits des fournisseurs ont permis
Assign to local vendor and disable vendor products,Assigner au fournisseur local et désactiver les produits du fournisseur
Delete vendor products,Supprimer des produits du fournisseur
* All Countries,* Tous les pays
Invalid request for source options: ,demande non valide pour les options de source: 
This item is not available for your location.,Cet article est disponible pour votre emplacement.
This item is not available for your country.,Cet article est disponible pour votre pays.
This item is not available for your zipcode.,Cet article est disponible pour votre code postal.
This product is currently out of stock.,Ce produit est actuellement en rupture de stock.
Some items are not available for your location.,Certains articles ne sont pas disponibles pour votre emplacement.
Some items are not available for your country.,Certains articles ne sont pas disponibles pour votre pays.
Some items are not available for your zipcode.,Certains articles ne sont pas disponibles pour votre code postal.
Some of the products are currently out of stock,Certains des produits sont actuellement en rupture de stock
Undefined product type.,Type non défini de produit.
Internal adjustment to sync payout with statement total due,Réglage interne pour la synchronisation avec paiement total dû déclaration
This account is not confirmed.,Ce compte est confirmé.
Invalid stock check callback: %s,rappel de contrôle de stock non valide:%s
This URL Key is already used for different vendor (%s). Please choose another.,Cette clé URL est déjà utilisée pour différents fournisseurs (%s). SVP en choisir un autre.
This URL Key is reserved. Please choose another.,Cette URL clé est réservé. SVP en choisir un autre.
A vendor with supplied email already exists.,Un fournisseur avec le courrier électronique fourni existe déjà.
A vendor with supplied email and password already exists.,Un fournisseur avec e-mail et mot de passe fourni existe déjà.
A vendor with supplied name already exists.,Un fournisseur avec le nom fourni existe déjà.
Location,Emplacement
Error,Erreur
Updated At,Mis à jour le
Sku,UGS :
Stock Qty,Quantité Stock
Stock Qty Add,Stock Qté Ajouter
Vendor Sku,fournisseur Sku
Item SKU,article SKU
Batch Info,Infos lot
Use Template,Utiliser un modèle
Batch notes,Notes de lot
Export to vendor's default locations,Exporter vers les emplacements par défaut du fournisseur
Default locations,Emplacements par défaut
Export and download file,Exporter le fichier et télécharger
Download file,Download file
Download file name,Nom du fichier Télécharger
"If empty, will be autogenerated","Si elle est vide, sera généré automatiquement"
Export to custom locations,Exporter vers des emplacements personnalisés
Custom locations,emplacements personnalisés
"Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference"">reference</a> for location format, separate multiple locations with new line","Utilisez <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference""> </a> de référence pour le format de l'emplacement, plusieurs emplacements séparés avec la nouvelle ligne"
Number of Rows,Nombre de rangées
Content,Contenu
Stock Status,État des stocks 
Special From,spécial De
Special To,spécial A
Tracking ID,ID de suivi
Has error,a l'erreur
Error Info,Info. Erreur
Import from vendor's default locations,Importer à partir des emplacements par défaut du fournisseur
Import from uploaded file,Importer à partir du fichier uploadé
Upload file,Charger un fichier
Import from pasted content,Importation de contenu collé
Paste content,coller le contenu
Import from custom locations,Importer à partir d'emplacements personnalisés
Manage Batches,gérer batchs
Batch Information,Information sur le lot
Data Rows,Les lignes de données
Export Orders,Commandes à l'exportation
Import Orders,Les commandes d'importation
Export Stock PO,Export Stock PO
Import Stock PO,Importation Stock PO
Import Inventory,Inventaire des importations
Delete Batch,supprimer lot
Create Batch(es),Créer lot (s)
Batch Type,type de lot
Batch Status,état du lot
# of Rows,Nombre de lignes
Scheduled At,À prévue
Vendor PO Import/Export Batches,PO Vendor Import / Export batchs
Create Stock PO Export Batch,Créer lot Stock PO Export
Create Stock PO Import Batch,Créer Stock PO importation Lot
Create Order Export Batch,Créer une commande Batch Export
Create Tracking Import Batch,Créer lot de suivi des importations
Create Inventory Import Batch,Créer l'inventaire d'importation lot
Location ID,Id_lieu
Batch ID,ID du lot
Batch Created At,Lot Créé à
Hist Updated At,Hist Mise à jour à
Retry,Réessayez
Vendor PO Import/Export History,PO Vendor Import / Export Histoire
* All Vendors *,* Tous les vendeurs *
Batch was successfully saved,Lot a été enregistrée avec succès
Batch was successfully deleted,Lot a été supprimé avec succès
Please select batch(es),S'il vous plaît sélectionner lot (s)
There was an error while updating batch(es) status,Il y avait une erreur en mettant à jour l'état des lots (s)
There was an error while updating history(ies) status,Il y avait une erreur lors de la mise à jour historique (s) statut
Total of %d record(s) were retried,Total de l'enregistrement% d (s) ont été rejugé
There was an error while retrying distribution: ,Il y avait une erreur lors de la distribution réessayant: 
Processed %s import rows,Les lignes à l'importation traitées%
Empty input,entrée vide
Empty delimiter,delimiter vide
Empty enclosure,boîtier vide
Empty fields,Les champs vides
"Required ""%s"" (or ""%s"") field is not specified",Nécessaire « %s » champ (ou « %s ») n'est pas spécifié
"Required ""%s"" field is not specified",Le champ obligatoire « %s » est pas spécifié
"%s"" field is not allowed. will be ignored.",% Le champ »n'est pas autorisé. Sera ignoré.
Invalid rows: %s,lignes non valides:%s
Empty rows: %s,lignes vides:%s
Missing required field in rows: %s,Champ obligatoire manquant en lignes:%s
Duplicate sku within file in rows: %s,Dupliquer sku dans les fichiers en lignes:%s
Product not found for sku in rows: %s,Produit non trouvé pour sku en lignes:%s
Products not associated with vendor in rows: %s,Les produits non associés avec le fournisseur en lignes:%s
Batch Import/Export,Lot Import / Export
Batches,Années académiques
Action History,Histoire d'action
Orders Batch Options,Commandes Options lot
Default Email Sender,Par défaut Email Sender
Default Email Subject,Par défaut Sujet Email
Default Export Orders Filename,Commandes à l'exportation par défaut Nom du fichier
Export On Po Statuses,Exporter sur Po Statuses
Save inventory import data in batch,Enregistrer les données d'importation des stocks dans le lot
Allow import new vendor/product association with inventory import,Autoriser l'importation nouvelle association fournisseur / produit avec l'importation d'inventaire
This option applicable to multivendor add-on,Cette option applicable à multifournisseurs add-on
If import by vendor sku and it maps to multiple products,Si l'importation par le vendeur sku et il est associé à plusieurs produits
Replace new line with custom char in fields during export,Remplacer nouvelle ligne avec char sur mesure dans les champs lors de l'exportation
This supports only fields with simple format [var.name] (Magento CMS templating conventions {{var var.name}} not supported),Cela soutient uniquement les champs avec format simple [var.name] (CMS Magento conventions texturants {{var var.name}} non pris en charge)
Custom char to replace new line in fields during export,Personnalisé char remplacer nouvelle ligne dans les champs lors de l'exportation
Custom templates for manual import,Les modèles personnalisés pour l'importation manuelle
Custom templates for manual export,Les modèles personnalisés pour l'exportation manuelle
Statement Export Template,Déclaration d'exportation Modèle
Invalid vendor,fournisseur non valide
"Please select ""Use Template",S'il vous plaît sélectionner « Utiliser un modèle
"Errors during importing, please see individual batches for details","Erreurs lors de l'importation, s'il vous plaît voir les lots individuels pour plus de détails"
Invalid batch type,Type de lot non valide
Empty Export Template,Exporter le modèle vide
Empty Item Export Template,Vide Exporter Modèle
From:,De:
To:,A:
Message:,Commentaire:
Invalid row format,format de ligne non valide
Missing required field: sku or vendor_sku,Champ obligatoire manquant: sku ou vendor_sku
Missing required field: sku,Champ obligatoire manquant: sku
Duplicate sku within file,Dupliquer sku dans les fichiers
Duplicate vendor sku within file,fournisseur double sku dans les fichiers
Neither sku or vendor_sku specified,Ni sku ou vendor_sku spécifiés
Product not found for ,Produit non trouvé pour 
"Vendor sku ""%s"" maps to multiple products (ids: ""%s"")","Fournisseur sku cartes ""%s"" à plusieurs produits (ids: ""%s"")"
Product with ,produit avec 
Missing required field,Champ obligatoire non renseigné
Duplicate tracking_id within file,Dupliquer tracking_id dans les fichiers
Invalid Order or PO ID,Incorrect Ordre ou ID PO
Duplicate tracking_id,dupliquer tracking_id
Invalid model for %s (%s),modèle non valide pour%s (%s)
Added new vendor/product association,Ajout d'un nouveau fournisseur / association de produits
Unsupported destination '%s,destination non pris en charge « %s
Could not write to file '%s,Impossible d'écrire dans le fichier « %s
Tracking ID %s was added,Numéro de suivi%s a été ajouté
Could not read from file '%s,Impossible de lire le fichier « %s
Invalid local destination '%s,destination locale non valide « %s
Import/Export Batches,Importation / exportation batchs
Export Stock POs,Export Stock OREN
Import Stock POs,Stock importation OREN
No Action,1-3 : Aucune action.
Rename,Renommer
Move,Déplacer
Rename+Move,Renommer + Déplacer
Realtime,(temps réel) 
Full,Plein
Manual,Manuel
Scheduled,Prévu
Missed,Manquer
Processing,Traitement
Exporting,Exportation
Importing,Importation
Empty,Vide
Success,Succès
Partial,Partielle
New,Nouveau
* No export,* Aucune exportation
Manual only,Manuel seulement
Auto Scheduled,Auto programmé
Instant,Instantané
Instant by status,Instant statut
* No import,* Pas d'importation
Vendor's Default locations,Les emplacements par défaut du fournisseur
* Use vendor default,* Utiliser par défaut du fournisseur
Yes (manual only),Oui (manuel uniquement)
Yes (manual and scheduled),Oui (manuel et programmé)
Update only first product,Mise à jour seulement premier produit
Update all products,Mettre à jour tous les produits
Skip and report error,Passer et Signaler une erreur
Dropship Vendor,Fournisseur Dropship
Registration ID,ID d'enregistrement
Manage Registrations,gérer Inscriptions
Grid,Grille
List,Liste
Home,Accueil
Go to Home Page,Aller à la page d'accueil
Vendor Registrations,Enregistrements fournisseurs
Please select registration(s),S'il vous plaît sélectionner Enregistrement (s)
Thank you for application. Instructions were sent to your email to confirm it,Nous vous remercions de l'application. Des instructions ont été envoyées à votre e-mail pour confirmer
"Thank you for application. As soon as your registration has been verified, you will receive an email confirmation","Nous vous remercions de l'application. Dès que votre inscription a été vérifiée, vous recevrez une confirmation par e-mail"
Incorrect CAPTCHA.,Captcha incorrecte.
MicroSite Options,microsite options
"Enable ""System View"" menu item in vendor portal",Activer élément de menu « System View » dans le portail des fournisseurs
"If enabled this option gives vendors limited access to admin area to create new products, update existing (filtered by Dropship Vendor attribute). The option may be overridden on vendor level.","Si elle est activée cette option donne les fournisseurs un accès limité à la zone d'administration pour créer de nouveaux produits, mise à jour existants (filtrés par Dropship attribut du vendeur).L'option peut être surchargée au niveau des fournisseurs."
Allow per vendor sudomain level selection,Autoriser par fournisseur sélection de niveau sudomain
Subdomain level to use for vendor,niveau sous-domaine à utiliser pour fournisseur
Landing page title,Titre de la page d'atterrissage
Landing page Meta Keywords,Landing page Mots-clés Meta
Landing page Meta Description,Landing page Meta Description
Use this vendor as a template for new registrations,Utilisez ce fournisseur comme un modèle pour les nouvelles inscriptions
Update Store Base URL,Mise à jour URL de base magasin
Automatically approve vendor applications,approuver automatiquement les applications des fournisseurs
Registration Confirmation Email Template,Confirmation de l'inscription Modèle Email
New Vendor Welcome Email Template,Nouveau fournisseur Bienvenue Email Template
Carriers to allow during vendor registration,Les transporteurs pour permettre lors de l'inscription des fournisseurs
New Registrations Receiver(s),Les nouveaux enregistrements du récepteur (s)
New Registrations Email Subject,Les nouvelles inscriptions Email Sujet
New Registrations Template,Les nouvelles inscriptions Modèle
Staging Website,site Web Mise en scène
Product attributes to HIDE from vendors,Caractéristiques du produit à cacher les vendeurs
Show all vendor products on frontend (including multivendor associations),Afficher tous les produits du fournisseur sur frontend (y compris les associations multifournisseurs)
Enable filter vendor categories on frontend,Activer les catégories de fournisseurs de filtres sur frontend
Stick microsite products in cart,Collez produits microsite dans le panier
"Products that added to cart from vendor microsite will be stuck to that vendor regardless of decision method <br> ""Yes and display vendor"" - will display vendor name as item custom option ",Les produits ajoutés au panier de fournisseur microsite seront bloqués à ce vendeur quelle que soit la méthode de décision <br> « Oui et fournisseur d'affichage » - affiche le nom du fournisseur en option élément personnalisé 
Joined field with this alias is already declared,champ jointe à cet alias est déjà déclarée
"Invalid alias, already exists in joined attributes","alias non valide, existe déjà dans les attributs joints"
"Invalid alias, already exists in joint attributes.","alias non valide, existe déjà dans les attributs communs."
"%s"" action is not allowed",% De » l'action n'est pas autorisé
Incomplete form data,Les données de forme incomplète
Passwords do not match,Les mots de passe ne sont pas identiques.
"This subdomain is already taken, please choose another.","Cette sous-domaine est déjà pris, s'il vous plaît choisir un autre."
From URL Path (domain.com/vendor),URL de chemin (domain.com/vendor)
2nd level subdomain (vendor.com),2ème sous-domaine de niveau (vendor.com)
3rd level subdomain (vendor.domain.com),3e niveau sous-domaine (vendor.domain.com)
4th level subdomain (vendor.subdomain.domain.com),4ème sous-domaine de niveau (vendor.subdomain.domain.com)
5th level subdomain (vendor.subdomain2.subdomain1.domain.com),5ème niveau sous-domaine (vendor.subdomain2.subdomain1.domain.com)
* Use Config,* Utilisez Config
Yes and activate,Oui et activer
Yes and display vendor,Oui et fournisseur d'affichage
Yes (only when in stock),Oui (uniquement en stock)
Yes (only when in stock) and display vendor,Oui (uniquement en stock) et fournisseur d'affichage
Enable Selected,activer la sélection
Disable Selected,désactiver sélectionné
* None,aucun
* Use config,* Utiliser config
Invalid base url type,type url de base non valide
Bad request.,Mauvaise Demande.
Wrong confirmation key.,Mauvaise touche de confirmation.
Failed to confirm vendor account.,Impossible de confirmer compte fournisseur.
Wrong vendor account specified.,Mauvais compte fournisseur spécifié.
Vendor Registration,Enregistrement des fournisseurs
Default Vendor Landing Page,Par défaut Page Vendor Landing
Registration Form,Formulaire d'inscription
Fieldsets,fieldsets
Skip confirmation email,Passer email de confirmation
New Vendor Confirmation Email Template,Confirmation Email Template Nouveau fournisseur
New Vendor Reject Email Template,Nouveau fournisseur Rejeter Modèle Email
Comments,Commentaires
Yes Agree,Oui d'accord
Drop Shipping Vendors,Les vendeurs Drop Shipping
Magento SKU,SKU Magento
Magento Price,Prix ??Magento
Invalid parameters.,Paramètres incorrects!
The vendors have been updated successfully.,Les vendeurs ont été mis à jour avec succès.
No changes were neccessary.,Aucun changement n'a été neccessary.
The vendors stock has been checked successfully.,Le stock de vendeurs a été vérifié avec succès.
Available,Disponible
To be published,Être publié
Reprinting in progress,Réimprimer en cours
Currently unavailable,actuellement indisponible
Change of distributor in progress,Changement de distributeur en cours
Sold out,Tous vendu
Unavailable until further notice,Non disponible jusqu'à nouvel ordre
To be republished,Rééditées
Total Quantity Method,Méthode Quantité totale
Hide out of stock vendors,Cacher les vendeurs d'actions
Default status for product multivendor data,Etat par défaut pour les données multifournisseur produit
"Invalid data: vendor_id=%s, product_id=%s","Données non valides: vendor_id =%s,%s = product_id"
Failed to update vendor stock: vendor is not associated with this item (%s),Impossible de mettre à jour stock fournisseur: fournisseur n'est pas associé à ce produit (%s)
"Only ""%s"" of this product in stock.",Seulement « %s » de ce produit en stock.
This product is not available in the requested quantity. %s of the items will be backordered.,Ce produit est disponible dans la quantité demandée. %s des articles seront en cours de réapprovisionnement.
This product is not available for your country.,Ce produit est disponible pour votre pays.
"%s"" is not available for your country.",%s » est pas disponible pour votre pays.
This product is not available for your location.,Ce produit est disponible pour votre emplacement.
This product is not available for your zipcode.,Ce produit est disponible pour votre code postal.
"%s"" is not available for your location.",%s » est pas disponible pour votre emplacement.
"%s"" is not available for your zipcode.",%s » est pas disponible pour votre code postal.
The minimum quantity allowed for purchase is %s.,La quantité minimale autorisée pour l'achat est%s.
"The minimum quantity allowed for purchase for ""%s"" is %s.",La quantité minimale autorisée pour achat est%s « %s ».
The maximum quantity allowed for purchase is %s.,La quantité maximale autorisée pour l'achat est%s.
"The maximum quantity allowed for purchase for ""%s"" is %s.",La quantité maximale autorisée pour achat est%s « %s ».
"%s"" is currently out of stock.",%s » est actuellement en rupture de stock.
"Only ""%s"" of ""%s"" in stock.","Seulement ""%s"" de ""%s"" en stock."
"%s"" is not available in the requested quantity. %s of the items will be backordered.",%s » est pas disponible dans la quantité demandée.%s des articles seront en cours de réapprovisionnement.
Some of the products cannot be ordered in requested quantity.,Certains des produits ne peuvent pas être commandés en quantité demandée.
Stock configuration problem,problème de configuration de stock
Not all products are available in the requested quantity,Tous les produits sont disponibles dans la quantité demandée
Allow Backorder by Availability State/Date,Autoriser Backorder par disponibilité État / Date
Track Reserved Qty,Nombre de piste réservés
Use Avail State/Date to Allow Qty Below 0,Utilisation Avail État / Date Autoriser Qté En dessous de 0
Use Avail State/Date to Allow Qty Below 0 and Notify Customer,Utilisation Avail État / Date pour autoriser Qté En dessous de 0 et aviser le client
Used,Utilisé
Used: As new,Occasion: Comme neuf
Used: Very Good,Occasion: Très bon
Used: Good,Used: Good
Used: Just OK,Occasion: Acceptable
A product type is not defined for the indexer.,Un type de produit n'est pas défini pour l'indexeur.
Po ID,ID Po
Payout Info,Info Payout
Method Specific Details,Méthode Détails spécifiques
Payout Additional Details,Détails supplémentaires Payout
Paypal Correlation ID,Paypal ID de corrélation
Payment Paid,Payé
Payment Due,Paiement dû :
Messages,messages
Manage Payouts,gérer déboursements
Payout Information,Information sur les paiements
Delete Payout,supprimer Payout
Create Payout(s),Créer Payout (s)
Sender Transaction ID,Sender ID de transaction
Pay,Payer 
Vendor Payouts,Reversement des fournisseurs
Generate Payouts,générer déboursements
Payout was successfully paid,Payout a été payé avec succès
Payout '%s' no longer exists,Payout « %s » n'existe plus
Payout was successfully saved,A été sauvé avec succès Payout
Payout was successfully deleted,Payout a été supprimé
Please select payout(s),S'il vous plaît sélectionner paiement (s)
%s of %d record(s) were successfully deleted,%s inscrits% d (s) ont été supprimés avec succès
%s of %d record(s) were successfully updated,%s inscrits% d (s) ont été mis à jour avec succès
There was an error while updating payout(s) status,Il y avait une erreur en mettant à jour le statut de paiement (s)
%s of %s payouts  were successfully paid,%s des paiements de% ont été payés avec succès
There was an error during payout(s) mass pay,Il y avait une erreur lors de la masse salariale de paiement (s)
Paypal,PayPal 
Check,Vérifier
Bank Transfer,Virement bancaire 
Offline,Hors ligne
Payout Options,Options de paiement
Predefined Payout Schedules,Horaires de distribution pré-définies
Payout Paypal Options,Options de paiement Paypal
Use IPN to complete payout,Utilisez IPN pour terminer paiement
Account Email,Email du compte
Password,Mot de passe
Signature,Signature
Please select vendors,S'il vous plaît choisir des fournisseurs
This payout already paid,Ce paiement déjà payé
This payout is canceled,Ce paiement est annulé
This payout wait paypal IPN,Ce paiement attente paypal IPN
"Payout ""total due"" must be positive",Payout « total dû » doit être positif
Empty payout method,Vide méthode de paiement
Unknown payout method: '%s,méthode inconnue de paiement: « %s
Can't find payout method class,Vous ne trouvez pas la classe de méthode de paiement
Successfully send payment. Waiting for IPN to complete.,Envoyer le paiement avec succès. En attendant IPN pour terminer.
Successfully paid,payé avec succès
* No Payout,Pas de Paiemen
Auto,auto
Use Statement preferences,Utilisez les préférences Déclaration
Custom,Sur Mesure
Hold,Mode de maintien de l'affichage
Waiting for Paypal IPN,En attente de Paypal IPN
* Use Custom,* Utilisation personnalisée
There was error during payment finalization.,Il y avait une erreur lors de la finalisation de paiement.
Paypal Adaptive,Paypal Adaptive
Application ID,ID de la candidature
Adaptive Payments,Paiements adaptatifs
