Download Labels,Download de etiquetas
Error connecting to API: %s,Erro ao conectar-se à API:% s
Tracking ID %s was picked up from %s,A ID de rastreamento% s foi coletada de% s
Tracking ID %s was delivered to customer,ID de rastreamento% s foi entregue ao cliente
Shipment has been complete,A remessa foi concluída
PO #%s [%s],PO #% s [% s]
%s (qty: x%s) [status: %s],% S (qty: x% s) [status:% s]
%s (qty: %s),% S (qty:% s)
Vendor SKU:,Vendedor SKU:
Commission Percent,Percentagem da Comissão
Transaction Fee,Taxa de transação
Commission Amount,Montante da Comissão
Tax Amount,Imposto
Cost,Custo
Row Cost,Custo da linha
Row Total,Total de linhas
"Invalid stock availability method callback: %s, %s","Retorno de chamada do método de disponibilidade de estoque inválido:% s,% s"
Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s]),Cálculo de Taxas Agrupadas: a restrição qty falhou para o item (% s [SKU:% s])
Selected required options are not available.,As opções selecionadas não estão disponíveis.
Required options are not selected.,As opções necessárias não estão selecionadas.
Unirgy Vendor-Product Associations Indexer,Unirgy Vendedor-Product Associations Indexer
Error parsing confirmation response,Erro ao analisar a resposta de confirmação
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","Não é possível excluir o fornecedor local. Por favor mude ""Configuração / Drop Shipping / Vendor Options / Local Vendor"" antes"
Order status changed after POs generated,Status do pedido alterado após a geração de pedidos
ORDER WAS CANCELED: shipment status was changed to %s,A encomenda foi cancelada: o estado da remessa foi alterado para% s
Page %s of %s,Página% s de% s
Packingslip # ,Talão de embalagem #
Qty,Quantidade
Products,Produtos
Order # ,Ordem #
Purchase Order # ,Ordem de compra #
Order Date: ,Data do pedido:
Purchase Order Date: ,Data da ordem de compra:
SOLD TO:,VENDIDO A:
SHIP TO:,ENVIAR PARA:
Payment Method:,Método de pagamento:
Payment Method,Método de pagamento
Shipping Method:,Método de envio:
Total Shipping Charges,Total dos Encargos de Transporte
Carrier,Portador
Number,Número
N/A,N / D
No orders found for this period.,Nenhum pedido encontrado para este período.
%s for %s - Page %s of %s,% S para% s - Página% s de% s
Statement #,Declaração #
Statement Date,Data de declaração
Date,Encontro
Order#,Ordem#
Product,produtos
Comm (%)/Trans,Comm (%) / Trans
Net Amount,Valor líquido
Adjustment#,Ajustamento#
Type,Tipo
Payout,Pagamento
Due,Vencimento
Comm (%),Comm (%)
Total Product Revenue,Receita total do produto
Total Tax,Imposto total
Total Tax (non-payable),Total Imposto (não-pagável)
Total Shipping,Envio total
Total Shipping (non-payable),Envio total (não pagável)
Total Discount,Desconto total
Total Discount (non-payable),Desconto Total (não-pago)
Total Handling,Manuseio Total
Total Commission,Total da Comissão
Total Transaction Fees,Total de taxas de transação
Total Adjustments,Total Ajustes
Total Refunds,Reembolsos totais
Page %s,Páginas
Adjust,Ajustar
Statement Totals,Total de declarações
Handling,Manipulação
Comm,Comm
Trans,Trans
Refund,Restituição
Payment,Forma de pagamento
Commission,Comissão
Trans.Fee,Taxa de transporte
Image file was not found: %s,O arquivo de imagem não foi encontrado:% s
Use config,Usar config
Disable,Desativar
When Tracking ID is added,Quando o ID de acompanhamento é adicionado
When Vendor Shipment is complete,Quando a remessa do fornecedor estiver concluída
When Order is completely shipped,Quando a encomenda é completamente enviada
Fail estimate and show the error,Estime a estimativa e mostre o erro
Skip failed carrier call and show prices without,Ignorar a chamada de operadora com falha e mostrar os preços sem
* Do not change,* Não mude
Pending,Pendente
Exported,Exportado
Acknowledged,Reconhecido
Backorder,Backorder
On Hold,Em espera
Ready to Ship,Pronto para enviar
Pending Pickup,Recolha pendente
Label(s) printed,Rótulo (s) impresso (s)
Shipped,Enviado
Delivered,Entregue
Canceled,Cancelado
Returned,Devolvida
* Default (global setting),* Predefinição (definição global)
* Use Vendor Email,* Usar email do fornecedor
When all items are shipped,Quando todos os itens são enviados
At least one item shipped,Pelo menos um item enviado
* Magento Bundled Fonts,* Magento Bundled Fontes
Times New Roman,Times New Roman
Helvetica,helvética
Courier,Correio
Sum of order vendors estimates,Soma das estimativas dos fornecedores de ordens
Maximum of order vendors estimates,Máximo de estimativas de fornecedores de ordens
* Automatic,Automático
Sendmail,Enviar correio
Active,Ativo
Inactive,Inativo
Disabled,Desativado
Rejected,Rejeitado
Pending Membership,Adesão Pendente
Suspended Membership,Subscrição suspensa
Canceled Membership,Afiliação Cancelada
Expired Membership,Cadastro Expirado
* No notification,* Sem notificação
* Email notification,* Notificação de Email
Invoice,Fatura
Include,Incluir
Exclude but Show,Excluir mas mostrar
Exclude and Hide,Excluir e ocultar
* Local database,* Banco de dados local
Always in stock,Sempre em estoque
Use system configured handling fee only,Utilize apenas a taxa de processamento configurada pelo sistema
Use vendor configured handling fee only,Utilize apenas a taxa de processamento configurada pelo fornecedor
Add vendor handling fee to the system handling fee,Adicionar taxa de manuseamento do fornecedor à taxa de tratamento do sistema
* Disable tracking API polling,* Desativar a pesquisa de API de monitoramento
* Use label carrier API if available,"* Use a API da portadora de etiquetas, se disponível"
No label printing,Sem impressão de etiquetas
PDF,PDF
EPL,EPL
ZPL,ZPL
4X6,4X6
Next Day Air Early AM,Dia seguinte
Next Day Air Early AM Letter,Carta do dia do ar do dia seguinte AM
Next Day Air,Próximo dia de ar
Next Day Air Letter,Carta do ar do dia seguinte
Next Day Air Intra (Puerto Rico),Próximo Dia Air Intra (Porto Rico)
Next Day Air Saver,Poupança de ar no dia seguinte
Next Day Air Saver Letter,Carta do dia seguinte do saque do ar
2nd Day Air AM,2º Dia Air AM
2nd Day Air AM Letter,2º Dia Carta AM AM
2nd Day Air,Dia 2 de ar
2nd Day Air Letter,Carta do ar do segundo dia
3 Day Select,3 Dia Selecionado
Ground,Chão
Ground Commercial,Comercial em terra
Ground Residential,Residencial Terreno
Canada Standard,Padrão do Canadá
Worldwide Express,Worldwide Express
Worldwide Express Saver,Worldwide Express Saver
Worldwide Express Letter,Carta Expressa Mundial
Worldwide Express Plus,Worldwide Express Plus
Worldwide Express Plus Letter,Carta Mundial Expressa Plus
Worldwide Expedited,Em todo o mundo acelerado
UPS Next Day Air,UPS Next Day Air
UPS Second Day Air,UPS segundo dia de ar
UPS Ground,UPS Ground
UPS Worldwide Express,UPS Worldwide Express
UPS Worldwide Expedited,UPS Worldwide Expedited
UPS Standard,Padrão UPS
UPS Three-Day Select,Seleção UPS de Três Dias
UPS Next Day Air Saver,UPS Next Day Air Saver
UPS Next Day Air Early A.M.,UPS Next Day Air Early A.M.
UPS Worldwide Express Plus,UPS Worldwide Express Plus
UPS Second Day Air A.M.,UPS Second Day Air A.M.
UPS Saver,UPS Saver
UPS Today Standard,UPS Today Standard
UPS Today Dedicated Courrier,UPS Today Dedicated Courrier
UPS Today Intercity,UPS Hoje Intercity
UPS Today Express,UPS Today Express
UPS Today Express Saver,UPS Today Express Saver
Sender,Remetente
Third Party,Terceiro
Regular Pickup,Recolha regular
Request Courier,Pedido de correio
Drop Box,Dropbox
Business Service Center,Centro de Serviços para Empresas
Station,Estação
PDF: Paper 4x6,PDF: Papel 4x6
PDF: Paper 4x8,PDF: Papel 4x8
PDF: Paper 4x9,PDF: Papel 4x9
PDF: Paper 7x4.75,PDF: Papel 7x4.75
PDF: Paper 8.5x11 Bottom Half Label,"PDF: Papel 8,5x11 Meia etiqueta inferior"
PDF: Paper 8.5x11 Top Half Label,PDF: Papel 8.5x11 Top Meio Rótulo
EPL: Stock 4x6,EPL: Estoque 4x6
EPL: Stock 4x6.75 Leading Doc Tab,EPL: Stock 4x6.75 Leading Tab Doc
EPL: Stock 4x6.75 Trailing Doc Tab,EPL: Stock 4x6.75 Guia Trailing Doc
EPL: Stock 4x8,EPL: Stock 4x8
EPL: Stock 4x9 Leading Doc Tab,EPL: Stock 4x9 Leading guia Doc
EPL: Stock 4x9 Trailing Doc Tab,EPL: Arquivo 4x9 Trailing Tab Doc
All,Todos
Limit by order shipping method,Limite por ordem de envio
Shipment,envio
Purchase Order,Ordem de compra
Available for Shipping Date,Disponível para Data de remessa
Delivery Method,Método de Entrega
Shipping Status,Estado do envio
Ascending,Ascendente
Descending,descendente
Fixed,Fixo
Percent of shipping amount,Porcentagem do valor de remessa
Percent of vendor subtotal,Porcentagem do subtotal do fornecedor
No action,Nenhuma ação
Enable / Disable vendor products,Ativar / Desativar produtos do fornecedor
* Default System Rules,* Regras Padrão do Sistema
Simple Custom Rules,Regras personalizadas simples
Advanced Custom Rules,Regras personalizadas avançadas
Total Price,Preço total
Total Cost,Custo total
Line Number,Número da Linha
Weight,Peso
Vendor Package,Pacote de Fornecedores
Row Separate Rate,Taxa de Linha Separada
Item Separate Rate,Item Taxa separada
Assign to local vendor and leave vendor products enabled,Atribua ao fornecedor local e deixe os produtos do fornecedor ativados
Assign to local vendor and disable vendor products,Atribuir a fornecedor local e desativar produtos de fornecedor
Delete vendor products,Excluir produtos do fornecedor
* All Countries,* Todos os países
Invalid request for source options: ,Pedido inválido de opções de origem:
This item is not available for your location.,Este item não está disponível para sua localização.
This item is not available for your country.,Este item não está disponível para seu país.
This item is not available for your zipcode.,Este item não está disponível para o seu CEP.
This product is currently out of stock.,Este produto está atualmente fora de estoque.
Some items are not available for your location.,Alguns itens não estão disponíveis para sua localização.
Some items are not available for your country.,Alguns itens não estão disponíveis para o seu país.
Some items are not available for your zipcode.,Alguns itens não estão disponíveis para o seu CEP.
Some of the products are currently out of stock,Alguns dos produtos estão atualmente fora de estoque
Undefined product type.,Tipo de produto não definido.
Internal adjustment to sync payout with statement total due,Ajuste interno para sincronizar o pagamento com o total da declaração
This account is not confirmed.,Esta conta não está confirmada.
Invalid stock check callback: %s,Retorno de chamada de verificação de estoque inválido:% s
This URL Key is already used for different vendor (%s). Please choose another.,Essa chave de URL já é usada para diferentes fornecedores (% s). Escolha outro.
This URL Key is reserved. Please choose another.,Esta chave de URL está reservada. Escolha outro.
A vendor with supplied email already exists.,Já existe um fornecedor com o e-mail fornecido.
A vendor with supplied email and password already exists.,Já existe um fornecedor com e-mail e senha fornecidos.
A vendor with supplied name already exists.,Já existe um fornecedor com o nome fornecido.
Location,Localização
Error,Erro
Updated At,Atualizado em
Sku,Sku
Stock Qty,Quantidade de estoque
Stock Qty Add,Stock Qty Adicionar
Vendor Sku,Vendedor Sku
Item SKU,Item SKU
Batch Info,Informações do Lote
Use Template,Usar modelo
Batch notes,Notas do lote
Export to vendor's default locations,Exportar para as localizações predefinidas do fornecedor
Default locations,Localizações padrão
Export and download file,Exportar e baixar arquivo
Download file,? Fazer download do arquivo
Download file name,Download do nome do arquivo
"If empty, will be autogenerated","Se estiver vazio, será gerado automaticamente"
Export to custom locations,Exportar para locais personalizados
Custom locations,Localizações personalizadas
"Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference"">reference</a> for location format, separate multiple locations with new line","Use <a href=""http://unirgy.com/wiki/udropship/batch/reference"" target=""udbatch_reference""> referência </a> para o formato de local, separe vários locais com nova linha"
Number of Rows,Numero de linhas
Content,Conteúdo
Stock Status,Estado das Ações
Special From,Especial de
Special To,Especial para
Tracking ID,ID de rastreamento
Has error,Tem erro
Error Info,Informações sobre erros
Import from vendor's default locations,Importação dos locais padrão do fornecedor
Import from uploaded file,Importar do arquivo enviado
Upload file,Subir arquivo
Import from pasted content,Importar de conteúdo colado
Paste content,Colar conteúdo
Import from custom locations,Importar de locais personalizados
Manage Batches,Gerir lotes
Batch Information,Informações do lote
Data Rows,Linhas de dados
Export Orders,Ordens de exportação
Import Orders,Ordens de Importação
Export Stock PO,Exportação Stock PO
Import Stock PO,Import PO Stock
Import Inventory,Importar inventário
Delete Batch,Excluir lote
Create Batch(es),Criar lote (es)
Batch Type,Tipo de Lote
Batch Status,Status do lote
# of Rows,# De linhas
Scheduled At,Programado em
Vendor PO Import/Export Batches,Vendedor PO Import / Export Lotes
Create Stock PO Export Batch,Criar estoque PO Exportar lote
Create Stock PO Import Batch,Criar lote de importação de PO de estoque
Create Order Export Batch,Criar lote de exportação de pedidos
Create Tracking Import Batch,Criar acompanhamento de lote de importação
Create Inventory Import Batch,Criar lote de importação de inventário
Location ID,ID do local
Batch ID,ID do lote
Batch Created At,Lote Criado em
Hist Updated At,Hist Atualizado em
Retry,Tentar novamente
Vendor PO Import/Export History,Histórico de importação / exportação do fornecedor
* All Vendors *,* Todos os fornecedores *
Batch was successfully saved,O lote foi salvo com êxito
Batch was successfully deleted,O lote foi excluído com êxito
Please select batch(es),Selecione o (s) lote (s)
There was an error while updating batch(es) status,Ocorreu um erro ao atualizar o status do lote (es)
There was an error while updating history(ies) status,Ocorreu um erro ao atualizar o status do histórico (s)
Total of %d record(s) were retried,Total de% d registros foram repetidos
There was an error while retrying distribution: ,Ocorreu um erro ao tentar novamente a distribuição:
Processed %s import rows,% S linhas de importação processadas
Empty input,Entrada vazia
Empty delimiter,Delimitador vazio
Empty enclosure,Invólucro vazio
Empty fields,Campos vazios
"Required ""%s"" (or ""%s"") field is not specified","O campo ""% s"" (ou ""% s"") obrigatório não foi especificado"
"Required ""%s"" field is not specified","O campo ""% s"" necessário não foi especificado"
"%s"" field is not allowed. will be ignored.","% S ""campo não é permitido. Será ignorado."
Invalid rows: %s,Linhas inválidas:% s
Empty rows: %s,Linhas vazias:% s
Missing required field in rows: %s,Falta o campo obrigatório nas linhas:% s
Duplicate sku within file in rows: %s,Duplicar sku dentro do arquivo em linhas:% s
Product not found for sku in rows: %s,Produto não encontrado para sku em linhas:% s
Products not associated with vendor in rows: %s,Produtos não associados ao fornecedor em linhas:% s
Batch Import/Export,Importação / Exportação de Lote
Batches,Lotes
Action History,Histórico de Ações
Orders Batch Options,Opções de lote de encomendas
Default Email Sender,Remetente padrão de e-mail
Default Email Subject,Assunto de e-mail padrão
Default Export Orders Filename,Ordens de exportação padrão Nome do arquivo
Export On Po Statuses,Exportar em status Po
Save inventory import data in batch,Salvar dados de importação de inventário em lote
Allow import new vendor/product association with inventory import,Permitir importação nova associação de fornecedor / produto com importação de inventário
This option applicable to multivendor add-on,Esta opção aplicável ao complemento multivendor
If import by vendor sku and it maps to multiple products,Se importação por vendedor sku e mapeia para vários produtos
Replace new line with custom char in fields during export,Substituir nova linha por caracteres personalizados nos campos durante a exportação
This supports only fields with simple format [var.name] (Magento CMS templating conventions {{var var.name}} not supported),Isso suporta somente campos com formato simples [var.name] (as convenções de templates do Magento CMS {{var var.name}} não são suportadas)
Custom char to replace new line in fields during export,Caracteres personalizados para substituir a nova linha nos campos durante a exportação
Custom templates for manual import,Modelos personalizados para importação manual
Custom templates for manual export,Modelos personalizados para exportação manual
Statement Export Template,Modelo de exportação de demonstrações
Invalid vendor,Fornecedor inválido
"Please select ""Use Template","Selecione ""Usar modelo"
"Errors during importing, please see individual batches for details","Erros durante a importação, consulte lotes individuais para obter detalhes"
Invalid batch type,Tipo de lote inválido
Empty Export Template,Modelo de exportação vazio
Empty Item Export Template,Modelo de exportação de item vazio
From:,A partir de:
To:,Para:
Message:,Mensagem:
Invalid row format,Formato de linha inválido
Missing required field: sku or vendor_sku,Campo obrigatório em falta: sku ou vendor_sku
Missing required field: sku,Campo obrigatório em falta: sku
Duplicate sku within file,Duplicar sku dentro do arquivo
Duplicate vendor sku within file,Duplicar o sku do fornecedor dentro do arquivo
Neither sku or vendor_sku specified,Nem sku nem vendor_sku especificados
Product not found for ,Produto não encontrado para
"Vendor sku ""%s"" maps to multiple products (ids: ""%s"")","O sku do fornecedor ""% s"" mapeia para vários produtos (ids: ""% s"")"
Product with ,Produto com
Missing required field,Campo obrigatório em falta
Duplicate tracking_id within file,Duplicar tracking_id dentro do arquivo
Invalid Order or PO ID,Ordem inválida ou ID do pedido
Duplicate tracking_id,Duplicar tracking_id
Invalid model for %s (%s),Modelo inválido para% s (% s)
Added new vendor/product association,Adicionada nova associação fornecedor / produto
Unsupported destination '%s,Destino não compatível '% s
Could not write to file '%s,Não foi possível gravar no ficheiro '% s
Tracking ID %s was added,A ID de acompanhamento% s foi adicionada
Could not read from file '%s,Não foi possível ler do arquivo '% s
Invalid local destination '%s,Destino local inválido '% s
Import/Export Batches,Lotes de Importação / Exportação
Export Stock POs,Exportação de POs
Import Stock POs,Importar ordens de ações
No Action,Nenhuma ação
Rename,Renomear
Move,Mover
Rename+Move,Renomear + Mover
Realtime,Tempo real
Full,Cheio
Manual,Manual
Scheduled,Programado
Missed,Perdido
Processing,Em processamento
Exporting,Exportador
Importing,Importação
Empty,Vazio
Success,Sucesso
Partial,Parcial
New,Novo
* No export,* Sem exportação
Manual only,Apenas manual
Auto Scheduled,Programação automática
Instant,Instante
Instant by status,Instantâneo por status
* No import,* Sem importação
Vendor's Default locations,Locais padrão do fornecedor
* Use vendor default,* Usar predefinição de fornecedor
Yes (manual only),Sim (apenas manual)
Yes (manual and scheduled),Sim (manual e programado)
Update only first product,Atualizar apenas o primeiro produto
Update all products,Atualizar todos os produtos
Skip and report error,Ignorar e informar o erro
Dropship Vendor,Fornecedor Dropship
Registration ID,ID de registo
Manage Registrations,Gerenciar Registos
Grid,Grade
List,Lista
Home,Casa
Go to Home Page,Vá para a página inicial
Vendor Registrations,Registros de fornecedores
Please select registration(s),"Por favor, selecione registro (s)"
Thank you for application. Instructions were sent to your email to confirm it,Obrigado pela aplicação. As instruções foram enviadas para o seu e-mail para confirmá-lo
"Thank you for application. As soon as your registration has been verified, you will receive an email confirmation","Obrigado pela aplicação. Assim que seu registro for confirmado, você receberá um e-mail de confirmação"
Incorrect CAPTCHA.,Captcha incorreto.
MicroSite Options,MicroSite Opções
"Enable ""System View"" menu item in vendor portal","Ativar item de menu ""Visão do sistema"" no portal do fornecedor"
"If enabled this option gives vendors limited access to admin area to create new products, update existing (filtered by Dropship Vendor attribute). The option may be overridden on vendor level.","Se ativada, esta opção oferece aos fornecedores acesso limitado à área de administração para criar novos produtos, atualização existente (filtrada pelo atributo Fornecedor Dropship). A opção pode ser substituída no nível do fornecedor."
Allow per vendor sudomain level selection,Permitir seleção de nível de sudomínio por fornecedor
Subdomain level to use for vendor,Nível de subdomínio a ser usado pelo fornecedor
Landing page title,Título da página de destino
Landing page Meta Keywords,Landing page Meta Palavras-chave
Landing page Meta Description,Página de destino Meta Descrição
Use this vendor as a template for new registrations,Utilize este fornecedor como modelo para novos registos
Update Store Base URL,Atualizar URL base da loja
Automatically approve vendor applications,Aprovar automaticamente as aplicações do fornecedor
Registration Confirmation Email Template,Modelo de e-mail de confirmação de inscrição
New Vendor Welcome Email Template,Modelo de e-mail de boas-vindas do novo fornecedor
Carriers to allow during vendor registration,Operadoras a serem autorizadas durante o registro do fornecedor
New Registrations Receiver(s),Novo Registo (s) Receptor (es)
New Registrations Email Subject,Novas Inscrições Assunto do Email
New Registrations Template,Novo Modelo de Registos
Staging Website,Site de Implementação
Product attributes to HIDE from vendors,Atributos do produto para OCULTAR de fornecedores
Show all vendor products on frontend (including multivendor associations),Mostrar todos os produtos do fornecedor no frontend (incluindo associações de vários fornecedores)
Enable filter vendor categories on frontend,Ativar categorias de fornecedores de filtros no frontend
Stick microsite products in cart,Stick microsite produtos no carrinho
"Products that added to cart from vendor microsite will be stuck to that vendor regardless of decision method <br> ""Yes and display vendor"" - will display vendor name as item custom option ","Os produtos que foram adicionados ao carrinho do microsite do fornecedor ficarão presos a esse fornecedor independentemente do método de decisão. ""Sim e exibir o fornecedor"" - exibirá o nome do fornecedor como opção personalizada do item"
Joined field with this alias is already declared,Campo associado com este alias já está declarado
"Invalid alias, already exists in joined attributes","Alias ??inválido, já existe em atributos unidos"
"Invalid alias, already exists in joint attributes.","Alias ??inválido, já existe em atributos comuns."
"%s"" action is not allowed","% S ""ação não é permitida"
Incomplete form data,Dados de formulário incompletos
Passwords do not match,As senhas não correspondem
"This subdomain is already taken, please choose another.","Este subdomínio já está selecionado, escolha outro."
From URL Path (domain.com/vendor),A partir do caminho do URL (domain.com/vendor)
2nd level subdomain (vendor.com),Subdomínio de 2º nível (vendor.com)
3rd level subdomain (vendor.domain.com),Subdomínio de 3º nível (vendor.domain.com)
4th level subdomain (vendor.subdomain.domain.com),Subdomínio de 4º nível (vendor.subdomain.domain.com)
5th level subdomain (vendor.subdomain2.subdomain1.domain.com),Subdomínio de 5º nível (fornecedor.subdomínio2.subdomínio1.domínio.com)
* Use Config,* Usar Config
Yes and activate,Sim e ativar
Yes and display vendor,Sim e exibir fornecedor
Yes (only when in stock),Sim (somente quando em estoque)
Yes (only when in stock) and display vendor,Sim (somente quando em estoque) e exibir fornecedor
Enable Selected,Ativar selecionado
Disable Selected,Desativar selecionado
* None,* Nenhum
* Use config,* Use config
Invalid base url type,Tipo de URL de base inválido
Bad request.,Pedido ruim.
Wrong confirmation key.,Chave de confirmação errada.
Failed to confirm vendor account.,Falha ao confirmar a conta do fornecedor.
Wrong vendor account specified.,Conta de fornecedor errada especificada.
Vendor Registration,Registro do fornecedor
Default Vendor Landing Page,Página de destino padrão do fornecedor
Registration Form,Formulário de registro
Fieldsets,Fieldsets
Skip confirmation email,Ignorar e-mail de confirmação
New Vendor Confirmation Email Template,Novo modelo de e-mail de confirmação de fornecedor
New Vendor Reject Email Template,Modelo de e-mail de rejeição de novo fornecedor
Comments,Comentários
Yes Agree,"Sim, concordo"
Drop Shipping Vendors,Fornecedores do transporte da gota
Magento SKU,Magento
Magento Price,Preço Magento
Invalid parameters.,Parâmetros inválidos.
The vendors have been updated successfully.,Os fornecedores foram atualizados com êxito.
No changes were neccessary.,Nenhuma alteração era necessária.
The vendors stock has been checked successfully.,O estoque de fornecedores foi verificado com êxito.
Available,acessível
To be published,A ser publicado
Reprinting in progress,Reimpressão em andamento
Currently unavailable,Atualmente indisponivel
Change of distributor in progress,Mudança de distribuidor em andamento
Sold out,Esgotado
Unavailable until further notice,Indisponível até novo aviso
To be republished,Para ser republicado
Total Quantity Method,Quantidade total Método
Hide out of stock vendors,Esconder fora dos fornecedores de estoque
Default status for product multivendor data,Status padrão para dados multivendor do produto
"Invalid data: vendor_id=%s, product_id=%s","Dados inválidos: vendor_id =% s, product_id =% s"
Failed to update vendor stock: vendor is not associated with this item (%s),Falha ao atualizar o estoque do fornecedor: o fornecedor não está associado a este item (% s)
"Only ""%s"" of this product in stock.","Apenas ""% s"" deste produto em estoque."
This product is not available in the requested quantity. %s of the items will be backordered.,Este produto não está disponível na quantidade solicitada. % S dos itens serão encomendados.
This product is not available for your country.,Este produto não está disponível para seu país.
"%s"" is not available for your country.","% S ""não está disponível para seu país."
This product is not available for your location.,Este produto não está disponível para a sua localização.
This product is not available for your zipcode.,Este produto não está disponível para o seu CEP.
"%s"" is not available for your location.","% S ""não está disponível para a sua localização."
"%s"" is not available for your zipcode.","% S ""não está disponível para o seu CEP."
The minimum quantity allowed for purchase is %s.,A quantidade mínima permitida para a compra é% s.
"The minimum quantity allowed for purchase for ""%s"" is %s.","A quantidade mínima permitida para compra para ""% s"" é% s."
The maximum quantity allowed for purchase is %s.,A quantidade máxima permitida para compra é% s.
"The maximum quantity allowed for purchase for ""%s"" is %s.","A quantidade máxima permitida para compra para ""% s"" é% s."
"%s"" is currently out of stock.","% S ""está atualmente fora de estoque."
"Only ""%s"" of ""%s"" in stock.","Apenas ""% s"" de ""% s"" em estoque."
"%s"" is not available in the requested quantity. %s of the items will be backordered.","% S ""não está disponível na quantidade solicitada.% S dos itens serão enviados em espera."
Some of the products cannot be ordered in requested quantity.,Alguns dos produtos não podem ser encomendados na quantidade solicitada.
Stock configuration problem,Problema de configuração de estoque
Not all products are available in the requested quantity,Nem todos os produtos estão disponíveis na quantidade solicitada
Allow Backorder by Availability State/Date,Permitir pedido pendente por estado / data de disponibilidade
Track Reserved Qty,Rastrear a quantidade reservada
Use Avail State/Date to Allow Qty Below 0,Usar estado / data de disponibilidade para permitir Qty abaixo de 0
Use Avail State/Date to Allow Qty Below 0 and Notify Customer,Usar estado / data de disponibilidade para permitir Qty abaixo de 0 e notificar o cliente
Used,Usava
Used: As new,Usado: Como novo
Used: Very Good,Usado - Muito Bom
Used: Good,Usado: Bom
Used: Just OK,Usado: Apenas OK
A product type is not defined for the indexer.,Um tipo de produto não está definido para o indexador.
Po ID,Po ID
Payout Info,Informações de Pagamento
Method Specific Details,Detalhes específicos do método
Payout Additional Details,Pagamento
Paypal Correlation ID,ID de correlação do Paypal
Payment Paid,Pagamento pago
Payment Due,Pagamento devido
Messages,Mensagens
Manage Payouts,Gerenciar pagamentos
Payout Information,Informações de Pagamento
Delete Payout,Excluir pagamento
Create Payout(s),Criar Pagamento (s)
Sender Transaction ID,ID da transação do remetente
Pay,Pagamento
Vendor Payouts,Pagamentos de fornecedores
Generate Payouts,Gerar Pagamentos
Payout was successfully paid,O pagamento foi pago com êxito
Payout '%s' no longer exists,O pagamento '% s' não existe mais
Payout was successfully saved,O pagamento foi salvo com êxito
Payout was successfully deleted,O pagamento foi eliminado com êxito
Please select payout(s),Selecione o (s) pagamento (s)
%s of %d record(s) were successfully deleted,% S de% d registro (s) foram excluídos com êxito
%s of %d record(s) were successfully updated,% S de% d registro (s) foram atualizados com sucesso
There was an error while updating payout(s) status,Ocorreu um erro ao atualizar o status do pagamento (s)
%s of %s payouts  were successfully paid,% S de pagamentos de% s foram pagos com êxito
There was an error during payout(s) mass pay,Ocorreu um erro durante o (s) pagamento (s) de pagamento em massa
Paypal,Paypal
Check,Verifica
Bank Transfer,Transferência bancária
Offline,desligada
Payout Options,Opções de Pagamento
Predefined Payout Schedules,Programações de pagamento predefinidas
Payout Paypal Options,Payout Paypal Opções
Use IPN to complete payout,Utilizar IPN para concluir o pagamento
Account Email,Conta de e-mail
Password,Senha
Signature,Assinatura
Please select vendors,Selecione fornecedores
This payout already paid,Este pagamento já pago
This payout is canceled,Este pagamento é cancelado
This payout wait paypal IPN,Este payout espera paypal IPN
"Payout ""total due"" must be positive","Pagamento ""total devido"" deve ser positivo"
Empty payout method,Método de pagamento vazio
Unknown payout method: '%s,Método de pagamento desconhecido:% s
Can't find payout method class,Não é possível encontrar a classe do método de pagamento
Successfully send payment. Waiting for IPN to complete.,Envie com êxito o pagamento. Esperando IPN para concluir.
Successfully paid,Pago com sucesso
* No Payout,* Sem pagamento
Auto,Auto
Use Statement preferences,Utilizar preferências de declaração
Custom,personalizadas
Hold,Aguarde
Waiting for Paypal IPN,A aguardar IPN do Paypal
* Use Custom,* Use Personalizar
There was error during payment finalization.,Ocorreu um erro durante a finalização do pagamento.
Paypal Adaptive,Paypal Adaptive
Application ID,ID do aplicativo
Adaptive Payments,Pagamentos Adaptativos
"Accept credit cards and PayPal payments securely and send chained payments to multiple recipients (vendors), one after the other. Each recipient can take a cut of the payment (vendor payout).","Aceite os cartões de crédito e os pagamentos do PayPal de forma segura e envie pagamentos encadeados a vários destinatários (vendedores), um após o outro. Cada destinatário pode tomar um corte do pagamento (pagamento do fornecedor)."
Required PayPal Settings,Configurações do PayPal necessárias
Use Parallel Payments,Usar pagamentos paralelos
All customer payment will go to vendors accounts. Select Statement Usage as Invoice in dropship settings and generate/send it to invoice vendors commissions,Todo o pagamento do cliente irá para as contas dos fornecedores. Selecione o uso da instrução como a fatura em ajustes do dropship e gere / envie-o às comissões dos vendedores da factura
Enable this Solution,Ativar esta solução
Basic Settings - PayPal Adaptive Payments,Configurações básicas - PayPal Adaptive Payments
"It is recommended to set this value to ""PayPal"" per store views.","É recomendável definir esse valor como ""PayPal"" por vistas de loja."
Sort Order,Ordem de classificação
Payment Action,Ação de pagamento
Advanced Settings,Configurações avançadas
Payment Applicable From,Pagamento Aplicável a partir de
Countries Payment Applicable From,Países Pagamento Aplicável a partir de
Summary Text for Aggregated Cart,Texto resumido para o carrinho agregado
Uses store frontend name by default.,Usa o nome do frontend da loja por padrão.
Debug Mode,Modo de depuração
Enable SSL verification,Ativar verificação SSL
